,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,63,05-03-2020 13:25:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2141,132157,49760,4462,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,05-03-2020 13:25:00,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2162,132157,49760,4462,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
65,65,05-03-2020 13:25:00,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2676,165196,62200,5578,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,05-03-2020 13:25:00,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1622,99118,37320,3347,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
67,67,05-03-2020 13:25:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4924,303961,114448,10263,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,05-03-2020 13:25:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8028,495588,186600,16733,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,05-03-2020 13:25:00,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9099,561666,211480,18964,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,05-03-2020 13:25:00,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0195,13216,4976,446,200.0,,,,,,,,,KURYER..500RUB.+BONUS
71,71,05-03-2020 13:25:18,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0195,13216,4976,446,200.0,,,,,,,,,Trebuetsja Kur'er
72,72,05-03-2020 13:25:18,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0146,9912,3732,335,150.0,,,,,,,,,Rabota na marki (kur'er)
