,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
71,01-04-2020 14:25:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3216,172955,62411,5753,2225,,True,,,,,,,,Amfetamin [White] [Import] 10G
72,01-04-2020 14:25:57,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,нет,9,Тбилиси,10 гр,0.0145,8574,3080,284,,,True,,100,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
73,01-04-2020 14:25:57,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2115,112634,40644,3747,1449,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,01-04-2020 14:25:57,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0539,28683,10350,954,369,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,01-04-2020 14:25:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0436,23242,8387,773,299,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,01-04-2020 14:25:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0874,46562,16802,1549,599,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,01-04-2020 14:25:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.159,85506,30855,2844,1100,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
78,01-04-2020 14:25:57,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3469,186558,67320,6205,2400,,True,,,,,,,,100 gr marijuana buds
79,01-04-2020 14:25:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.289,155465,56100,5171,2000,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,01-04-2020 14:25:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2919,155465,56100,5171,2000,,True,,,,,,,,SUBOXIN - HQ - 100 G.
81,01-04-2020 14:25:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3613,194331,70125,6464,2500,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,01-04-2020 14:25:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.219,116599,42075,3878,1500,,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,01-04-2020 14:25:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6648,357570,129030,11894,4600,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,01-04-2020 14:25:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0839,582994,210375,19392,7500,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,01-04-2020 14:25:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2284,660726,238425,21978,8500,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
86,01-04-2020 14:25:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0263,15547,5610,517,200,,True,,,,,,,,KURYER..500RUB.+BONUS
87,01-04-2020 14:25:57,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0217,11660,4208,388,150,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
88,01-04-2020 14:25:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0289,15547,5610,517,200,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
