,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
92,13-02-2020 05:55:59,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0342,25156,9831,875,399,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
93,13-02-2020 05:55:59,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2096,140280,54824,4877,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
94,13-02-2020 05:55:59,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0769,50942,19909,1771,808,,,,,,,,,,,,💘✨10gram MDMA ✨💘
95,13-02-2020 05:55:59,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0285,18851,7367,655,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
96,13-02-2020 05:55:59,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0428,28371,11088,986,450,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
97,13-02-2020 05:55:59,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2826,208055,81312,7233,3300,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
98,13-02-2020 05:55:59,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0542,37828,14784,1315,600,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
99,13-02-2020 05:55:59,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1028,75656,29568,2630,1200,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
100,13-02-2020 05:56:33,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0814,56742,22176,1973,900,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
101,13-02-2020 05:56:33,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0895,59895,23408,2082,950,,,,,,,,,,,,Hybrid Skunk! 50 gr
