,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
38,38,24-07-2020 11:27:02,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0282,19160,7574,644,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,39,24-07-2020 11:27:02,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0287,19515,7714,656,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,24-07-2020 11:27:02,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.025,17031,6732,573,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,24-07-2020 11:27:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0292,19870,7854,668,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,24-07-2020 11:27:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19160,7574,644,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,24-07-2020 11:27:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15541,6143,522,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,24-07-2020 11:27:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,7,Тбилиси,5 гр,0.0245,16676,6592,561,,True,235.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
45,45,24-07-2020 11:27:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19160,7574,644,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,24-07-2020 11:27:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2538,190000,87429,6386,,True,,,,,,,,,reagent 25i nbome. 5gr
47,47,24-07-2020 11:27:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2844,212889,84150,7157,,,3000.0,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,24-07-2020 11:27:02,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,2,Тбилиси,5 гр,0.0261,17741,7013,596,,True,250.0,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
49,49,24-07-2020 11:27:02,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0244,16438,6494,552,200.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,50,24-07-2020 11:27:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0939,63867,25245,2147,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,24-07-2020 11:27:02,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0574,39030,15428,1312,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,24-07-2020 11:27:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.073,49674,19635,1670,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,24-07-2020 11:27:02,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0438,29804,11781,1002,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,24-07-2020 11:27:02,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0834,56770,22440,1909,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,24-07-2020 11:27:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,1,8,Тбилиси,10 гр,0.0438,29804,11781,1002,,True,420.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
56,56,24-07-2020 11:27:02,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.036000000000000004,26966,10659,907,,True,380.0,,,,,,,,Northern Lights Regular [budsonly] 10gram
57,57,24-07-2020 11:27:02,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.23199999999999998,157893,62411,5308,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
58,58,24-07-2020 11:27:02,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0428,29095,11501,978,,True,410.0,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
59,59,24-07-2020 11:27:02,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0536,36163,14287,1215,440.0,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
60,60,24-07-2020 11:27:02,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0475,32054,12663,1077,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,61,24-07-2020 11:27:02,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0616,46126,18233,1551,,True,650.0,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
62,62,24-07-2020 11:27:02,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2503,170311,67320,5726,,True,2400.0,,,,,,,,100 gr marijuana buds
63,63,24-07-2020 11:27:02,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2607,177408,70125,5964,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,24-07-2020 11:27:02,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0365,24837,9818,835,,,350.0,,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
65,65,24-07-2020 11:27:02,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6153,418682,165495,14076,,True,5900.0,,,,,,,,180 gr marihuana persoalno
66,66,24-07-2020 11:27:02,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1043,70963,28050,2386,,,1000.0,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,67,24-07-2020 11:27:02,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8864,603186,238425,20278,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,24-07-2020 11:27:02,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14193,5610,477,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
69,69,24-07-2020 11:27:02,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0156,10644,4208,358,,,150.0,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,70,24-07-2020 11:28:17,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.026000000000000002,17741,7013,596,,True,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,24-07-2020 11:28:17,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0379,28385,11220,954,,True,400.0,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
72,72,24-07-2020 11:28:17,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,14193,5610,477,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,24-07-2020 11:28:17,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026000000000000002,17741,7013,596,,True,250.0,,,,,,,,Rabota na marki (kur'er)
74,74,24-07-2020 11:28:17,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0521,35482,14025,1193,,True,500.0,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,24-07-2020 11:28:17,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5767,1064445,420750,35786,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
