,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,02-03-2020 21:08:13,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0653,39730,14939,1341,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,02-03-2020 21:08:13,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0725,46429,17458,1567,700,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
65,02-03-2020 21:08:13,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1178,79593,29928,2687,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
66,02-03-2020 21:08:13,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1035,66261,24915,2237,999,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
67,02-03-2020 21:08:13,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.216,132655,49880,4478,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,02-03-2020 21:08:13,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2181,132655,49880,4478,2000,,,,,,,,,SUBOXIN - HQ - 100 G.
69,02-03-2020 21:08:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.27,165819,62350,5598,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,02-03-2020 21:08:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4944,305106,114724,10300,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,02-03-2020 21:08:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.806,497456,187050,16793,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,02-03-2020 21:08:54,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9135,563783,211990,19032,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,02-03-2020 21:08:54,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0195,13265,4988,448,200,,,,,,,,,KURYER..500RUB.+BONUS
74,02-03-2020 21:08:54,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0195,13265,4988,448,200,,,,,,,,,Trebuetsja Kur'er
75,02-03-2020 21:08:54,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0215,13265,4988,448,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,02-03-2020 21:08:54,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,16582,6235,560,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,02-03-2020 21:08:54,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6267,994911,374100,33587,15000,,,,,,,,,Vakansija optovogo kur'era na mef
78,02-03-2020 21:10:04,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1617,99491,37410,3359,1500,,,,,,True,,,Skunk! 50 gr.
79,02-03-2020 21:10:04,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,4,Батуми,0.27 гр,0.0294,17908,6734,605,270,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
80,02-03-2020 21:10:04,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0196,13265,4988,448,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
81,02-03-2020 21:10:04,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2177,132655,49880,4478,2000,,,,,,True,,,SUBOXIN - HQ - 100 G.
82,02-03-2020 21:10:04,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1633,99491,37410,3359,1500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,02-03-2020 21:10:04,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0109,6633,2494,224,100,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
84,02-03-2020 21:10:04,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3316,1247,112,50,,,,,,True,,,kur'er v Batumi
85,02-03-2020 21:10:04,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0049,3316,1247,112,50,,,,,,True,,,Vakansija Kur'era v Batumi
86,02-03-2020 21:10:04,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0074,5000,2301,167,,,,,,,True,,,Vakansija Kur'era v Batumi
87,02-03-2020 21:10:04,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0245,16582,6235,560,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,02-03-2020 21:10:04,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0245,16582,6235,560,250,,,,,,True,,,Ischu kur'era v Gruzii!
89,02-03-2020 21:10:04,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6315,994911,374100,33587,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
90,02-03-2020 21:10:04,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0539,33164,12470,1120,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,02-03-2020 21:11:22,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0118,7163,2694,242,108,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
92,02-03-2020 21:11:22,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0109,6633,2494,224,100,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
