,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
54,30-05-2020 13:07:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4812,325459,124430,11086,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
55,30-05-2020 13:07:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7846,530640,202875,18075,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
56,30-05-2020 13:07:50,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8892,601392,229925,20485,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,30-05-2020 13:07:50,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14150,5410,482,200,,,,,,,,,,,KURYER..500RUB.+BONUS
58,30-05-2020 13:07:50,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,14150,5410,482,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,30-05-2020 13:07:50,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
60,30-05-2020 13:07:50,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5835,1061280,405750,36150,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
61,30-05-2020 13:09:13,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,1,нет,Батуми,4 гр,0.0059,3962,1515,135,56,,,,,,,True,,,,Marki n-BoooooooM 4 sht
62,30-05-2020 13:09:13,Batumi,A3I9,Joookerrr,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0105,7075,2705,241,100,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
63,30-05-2020 13:09:13,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2302,155654,59510,5302,2200,,,,,,,,True,,,[100g] SPAIN HASH
