,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
63,27-05-2020 05:55:44,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2734,177852,67775,6005,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,27-05-2020 05:55:44,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6452,419731,159949,14172,5900,,,,,,,,,,,180 gr marihuana persoalno
65,27-05-2020 05:55:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5031,327248,124706,11049,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,27-05-2020 05:55:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8202,533556,203325,18015,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,27-05-2020 05:55:44,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9296,604697,230435,20417,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,27-05-2020 05:56:30,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,14228,5422,480,200,,,,,,,,,,,KURYER..500RUB.+BONUS
69,27-05-2020 05:56:30,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,14228,5422,480,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,27-05-2020 05:56:30,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,17785,6778,601,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,27-05-2020 05:56:30,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.658,1067112,406650,36030,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
72,27-05-2020 05:58:06,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0328,21342,8133,721,300,,,,,,,True,,,,shishki marihuany 5G
73,27-05-2020 05:58:06,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2406,156510,59642,5284,2200,,,,,,,,True,,,[100g] SPAIN HASH
74,27-05-2020 05:58:06,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,1,2,Батуми,0.5 гр,0.0093,6047,2304,204,85,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
