,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
83,22-07-2020 03:37:55,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0529,35750,14058,1203,,,,440,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
84,22-07-2020 03:37:55,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0469,31687,12461,1066,,,,390,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,22-07-2020 03:37:55,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.048,32419,12748,1091,,,,399,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
86,22-07-2020 03:37:55,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1658,112990,51992,3805,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,22-07-2020 03:37:55,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2625,178900,82321,6024,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,22-07-2020 03:37:55,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7097,2800,239,100,,,,,,,,True,,,kur'er v Batumi
89,22-07-2020 03:37:55,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17742,7000,597,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,22-07-2020 03:37:55,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17742,7000,597,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,22-07-2020 03:37:55,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,14193,5600,478,200,,,,,,,,True,,,Kur'er Batumi na marihuanu
92,22-07-2020 03:37:55,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5759,1064502,420000,35819,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,22-07-2020 03:37:55,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0521,35483,14000,1194,500,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,22-07-2020 03:39:41,Kutaisi,2I03,bananaa,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4394,299480,118160,10077,4220,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
