,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
72,72,12-07-2020 03:24:57,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0622,46299,17713,1580,,True,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
73,73,12-07-2020 03:24:57,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2528,170952,65400,5832,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
74,74,12-07-2020 03:24:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2633,178075,68125,6075,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,12-07-2020 03:24:57,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6214,420256,160775,14337,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
76,76,12-07-2020 03:24:57,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8953,605453,231625,20655,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
77,77,12-07-2020 03:24:57,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14246,5450,486,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
78,78,12-07-2020 03:24:57,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0158,10684,4088,365,,True,150.0,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
79,79,12-07-2020 03:24:57,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,80,12-07-2020 03:24:57,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14246,5450,486,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,12-07-2020 03:24:57,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,,Rabota na marki (kur'er)
82,82,12-07-2020 03:24:57,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0527,35615,13625,1215,,True,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
83,83,12-07-2020 03:24:57,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0192,14246,5450,486,,True,200.0,,,,,,,,,,,Rabota kur'erom
84,84,12-07-2020 03:24:57,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5943,1068447,408750,36450,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,12-07-2020 03:24:57,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0527,35615,13625,1215,,,500.0,True,,,,True,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,12-07-2020 03:26:34,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0368,24930,9538,851,,,350.0,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
87,87,12-07-2020 03:26:34,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0371,24883,9517,850,310.0,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
88,88,12-07-2020 03:26:34,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0526,35318,13508,1207,440.0,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,89,12-07-2020 03:26:34,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0466,31305,11973,1070,390.0,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,90,12-07-2020 03:26:34,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.0477,32027,12249,1095,399.0,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
91,91,12-07-2020 03:26:34,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3855,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
92,92,12-07-2020 03:26:34,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6104,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
93,93,12-07-2020 03:26:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2725,243,,,100.0,,,,,,,,True,,,kur'er v Batumi
