,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
56,21-04-2020 07:22:38,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0518,27552,10111,904,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,21-04-2020 07:22:38,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.042,22325,8193,733,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,21-04-2020 07:22:38,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0563,30240,11097,993,405,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
59,21-04-2020 07:22:38,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0841,44725,16413,1468,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,21-04-2020 07:22:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1529,82132,30140,2696,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,21-04-2020 07:22:38,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3337,179198,65760,5881,2400,,,,,,,,,,,100 gr marijuana buds
62,21-04-2020 07:22:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2781,149331,54800,4901,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,21-04-2020 07:22:38,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2808,149331,54800,4901,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
64,21-04-2020 07:22:38,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3476,186664,68500,6127,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,21-04-2020 07:22:38,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8203,440528,161660,14459,5900,,,,,,,,,,,180 gr marihuana persoalno
