,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Батуми,Центр,Кутаиси,desc_en
40,13-04-2020 17:02:29,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,1,нет,Тбилиси,5 гр,0.0096,5638,2086,189,,,,70,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
41,13-04-2020 17:02:29,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0069,4044,1502,136,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,13-04-2020 17:02:29,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,1,нет,Тбилиси,10 гр,0.0288,15367,5706,517,209,,,,,,,,,,,,10 gr marijuana buds. -indica-
43,13-04-2020 17:02:29,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0549,29336,10893,988,399,,,,,,,,True,,,,"10g. Shishki Amnesia Haze, Sativa"
44,13-04-2020 17:02:29,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0502,26836,9965,903,365,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,13-04-2020 17:02:29,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0106,6250,2321,210,85,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
46,13-04-2020 17:02:29,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0528,29410,10920,990,400,,,,,,,,,,,,gashish evro 10g
47,13-04-2020 17:02:29,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1026,57129,21212,1923,777,,,,,,,,,,,,Gashish Evro 20gr
48,13-04-2020 17:02:29,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2503,147049,54600,4950,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
49,13-04-2020 17:02:29,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.27 G.,True,нет,6,Тбилиси,0.27 гр,0.0316,16690,6197,562,227,,,,,,,,,,,,METADON - 0.27 G.
50,13-04-2020 17:02:29,Tbilisi,U26MW,Skyhigh,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,3,Тбилиси,0.5 гр,0.0114,6103,2266,205,83,True,,,,,,,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
51,13-04-2020 17:02:29,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,4,Тбилиси,1 гр,0.0051,2720,1010,92,37,True,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
52,13-04-2020 17:02:29,Tbilisi,U26MW,Skyhigh,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.0072,3823,1420,129,52,True,,,,,,,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
53,13-04-2020 17:02:29,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,4,10,Тбилиси,1 гр,0.0406,26836,9965,903,365,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
