,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
54,54,26-05-2020 06:47:05,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0659,42886,16203,1437,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,26-05-2020 06:47:05,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1415,93003,35138,3117,1299.0,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,26-05-2020 06:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1198,78756,29755,2639,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,57,26-05-2020 06:47:05,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2722,178919,67598,5996,2499.0,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,58,26-05-2020 06:47:05,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2615,171831,64920,5759,2400.0,,,,,,,,,,,,,100 gr marijuana buds
59,59,26-05-2020 06:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2179,143192,54100,4799,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,60,26-05-2020 06:47:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2724,178991,67625,5999,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,26-05-2020 06:47:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6428,422418,159595,14157,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
62,62,26-05-2020 06:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5011,329343,124430,11038,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,63,26-05-2020 06:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8171,536972,202875,17996,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,64,26-05-2020 06:47:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9259999999999999,608568,229925,20396,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
