,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
65,65,16-04-2020 01:03:41,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.0149,8067,2995,268,,,,,100.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
66,66,16-04-2020 01:03:41,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1989,106812,39848,3555,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,16-04-2020 01:03:41,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0507,27201,10148,905,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,16-04-2020 01:04:21,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,2,Тбилиси,20 гр,0.0551,29854,11138,994,405.0,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
69,69,16-04-2020 01:04:21,Tbilisi,28bf667d16,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4457,241710,90173,8045,3279.0,,,,,,,,,,,,Cocaine Fishscale 20g
70,70,16-04-2020 01:04:21,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0822,44155,16473,1470,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,16-04-2020 01:04:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1495,81086,30250,2699,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,72,16-04-2020 01:04:21,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3263,176915,66000,5888,2400.0,,,,,,,,,,,,100 gr marijuana buds
73,73,16-04-2020 01:04:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2719,147429,55000,4907,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,16-04-2020 01:04:21,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2746,147429,55000,4907,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,75,16-04-2020 01:04:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3398,184286,68750,6134,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,76,16-04-2020 01:04:21,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.802,434916,162250,14476,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
77,77,16-04-2020 01:04:21,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4282,232201,86625,7729,3150.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
78,78,16-04-2020 01:04:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6253,339087,126500,11286,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,16-04-2020 01:04:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0195,552859,206250,18401,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,16-04-2020 01:04:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1555,626573,233750,20855,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,16-04-2020 01:04:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,14743,5500,491,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,16-04-2020 01:04:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,14743,5500,491,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,16-04-2020 01:04:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,18429,6875,613,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,16-04-2020 01:04:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0576,1105718,412500,36803,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,16-04-2020 01:05:46,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2991,162172,60500,5398,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
86,86,16-04-2020 01:05:46,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0408,24326,9075,810,330.0,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
87,87,16-04-2020 01:05:46,Batumi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 25 штук!!!,,нет,2,Батуми,25 гр,0.0372,20168,7488,671,,,,,250.0,,,,,True,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 25 shtuk!!!
88,88,16-04-2020 01:05:46,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2746,147429,55000,4907,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,89,16-04-2020 01:05:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7371,2750,245,100.0,,,,,,,,,True,,,kur'er v Batumi
90,90,16-04-2020 01:05:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0309,18429,6875,613,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,16-04-2020 01:05:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0309,18429,6875,613,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,16-04-2020 01:05:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0576,1105718,412500,36803,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,93,16-04-2020 01:05:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.068,36857,13750,1227,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,16-04-2020 01:07:29,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0195,10689,3988,356,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,95,16-04-2020 01:07:29,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0491,26906,10038,896,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,16-04-2020 01:07:29,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.037000000000000005,20271,7563,675,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,16-04-2020 01:07:29,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,нет,10,Кутаиси,10 гр,0.0149,8067,2995,268,,,,,100.0,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
