,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
78,78,21-02-2020 13:27:41,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0301,19122,7353,661,300.0,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
79,79,21-02-2020 13:27:41,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0316,22309,8579,772,350.0,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
80,80,21-02-2020 13:27:41,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0381,25497,9804,882,400.0,,,,,,,,,,,gashish evro 10g
81,81,21-02-2020 13:27:41,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,9,нет,Тбилиси,10 гр,0.0086,6055,2328,209,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
82,82,21-02-2020 13:27:41,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0667,44619,17157,1543,700.0,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
83,83,21-02-2020 13:27:41,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0741,49527,19044,1713,777.0,,,,,,,,,,,Gashish Evro 20gr
84,84,21-02-2020 13:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0228,14469,5564,500,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
85,85,21-02-2020 13:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,2,5,Тбилиси,0.35 гр,0.03,19059,7328,659,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
86,86,21-02-2020 13:27:41,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,нет,1,Тбилиси,1 гр,0.0048,3187,1226,110,50.0,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
87,87,21-02-2020 13:27:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0602,38245,14706,1323,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
