,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,70,18-03-2020 17:40:02,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.061,27025,9905,829,350.0,True,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
71,71,18-03-2020 17:40:02,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1381,61770,22640,1894,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,18-03-2020 17:40:02,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3841,171799,62968,5267,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,18-03-2020 17:40:02,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2526,111882,41007,3430,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,18-03-2020 17:40:02,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0643,28492,10443,874,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,18-03-2020 17:40:02,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0521,23087,8462,708,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,76,18-03-2020 17:40:02,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.1044,46251,16952,1418,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,18-03-2020 17:40:02,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1883,92656,33960,2841,1200.0,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
78,78,18-03-2020 17:40:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.3453,154426,56600,4735,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,18-03-2020 17:40:02,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3487,154426,56600,4735,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
80,80,18-03-2020 17:40:02,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.4316,193033,70750,5918,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,18-03-2020 17:40:02,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2615,115820,42450,3551,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,82,18-03-2020 17:40:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.7941,355180,130180,10890,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,83,18-03-2020 17:40:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.2948,579098,212250,17755,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,84,18-03-2020 17:40:02,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.4674,656311,240550,20122,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,85,18-03-2020 17:40:02,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0314,15443,5660,473,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
