,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
55,27-04-2020 04:15:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3185,186791,68375,6158,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,27-04-2020 04:15:47,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7518,440826,161365,14532,5900,,,,,,,,,,,,180 gr marihuana persoalno
57,27-04-2020 04:15:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5861,343695,125810,11330,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,27-04-2020 04:15:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9556,560372,205125,18473,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,27-04-2020 04:15:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.083,635089,232475,20936,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,27-04-2020 04:15:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0232,14943,5470,493,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
61,27-04-2020 04:15:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0255,14943,5470,493,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,27-04-2020 04:15:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0319,18679,6838,616,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,27-04-2020 04:15:47,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0255,14943,5470,493,200,,,,,,,,,,,,Rabota na marki (kur'er)
64,27-04-2020 04:15:47,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9286,1120745,410250,36945,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
65,27-04-2020 04:17:12,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,2,нет,Батуми,4 гр,0.0068,4414,1623,146,,,,,,,,55,,True,,,Batumi n-booom 4 shtuki
66,27-04-2020 04:17:12,Batumi,A3I9,Joookerrr,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0124,8025,2950,265,,,,,,,,100,,True,,,Batumi n-booom 10 shtuk
67,27-04-2020 04:17:12,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2793,164376,60170,5419,2200,,,,,,,,,True,,,[100g] SPAIN HASH
68,27-04-2020 04:17:12,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6412,373582,136750,12315,5000,,,,,,,,,True,,,METADON - 20 G.
69,27-04-2020 04:17:12,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7472,2735,246,100,,,,,,,,,True,,,kur'er v Batumi
70,27-04-2020 04:17:12,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0289,18679,6838,616,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,27-04-2020 04:17:12,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0289,18679,6838,616,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
72,27-04-2020 04:17:12,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9218,1120745,410250,36945,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
73,27-04-2020 04:17:12,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0635,37358,13675,1232,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,27-04-2020 04:18:34,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14121,5169,466,189,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,27-04-2020 04:18:34,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0614,36163,13237,1192,484,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,27-04-2020 04:18:34,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0423,24881,9108,820,333,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,27-04-2020 04:18:34,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14943,5470,493,200,,,,,,,,,,,True,Rabota na marki (kur'er)
