,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
65,16-04-2020 05:44:00,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3059,164015,61188,5453,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
66,16-04-2020 05:44:00,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.015,8067,2995,268,,,,,100,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
67,16-04-2020 05:44:00,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2012,106812,39848,3551,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,16-04-2020 05:44:49,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0519,27201,10148,904,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
69,16-04-2020 05:44:49,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0421,22041,8223,733,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
70,16-04-2020 05:44:49,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,1,2,Тбилиси,20 гр,0.0564,29854,11138,993,405,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
71,16-04-2020 05:44:49,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4568,241710,90173,8036,3279,,,,,,,,,,,,Cocaine Fishscale 20g
72,16-04-2020 05:44:49,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0843,44155,16473,1468,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,16-04-2020 05:44:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1533,81086,30250,2696,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,16-04-2020 05:44:49,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3344,176915,66000,5881,2400,,,,,,,,,,,,100 gr marijuana buds
75,16-04-2020 05:44:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2786,147429,55000,4901,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,16-04-2020 05:44:49,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2814,147429,55000,4901,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,16-04-2020 05:44:49,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3483,184286,68750,6127,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,16-04-2020 05:44:49,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.822,434916,162250,14459,5900,,,,,,,,,,,,180 gr marihuana persoalno
79,16-04-2020 05:44:49,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4389,232201,86625,7719,3150,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
80,16-04-2020 05:44:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6409,339087,126500,11273,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,16-04-2020 05:44:49,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0449,552859,206250,18380,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,16-04-2020 05:44:49,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1842,626573,233750,20830,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,16-04-2020 05:44:49,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0253,14743,5500,490,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,16-04-2020 05:44:49,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0279,14743,5500,490,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,16-04-2020 05:44:49,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0348,18429,6875,613,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,16-04-2020 05:44:49,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1088,1105718,412500,36759,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,16-04-2020 05:46:13,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3024,162172,60500,5391,2200,,,,,,,,,True,,,[100g] SPAIN HASH
88,16-04-2020 05:46:13,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0412,24326,9075,809,330,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
89,16-04-2020 05:46:13,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 25 штук!!!,,нет,2,Батуми,25 гр,0.0376,20168,7488,671,,,,,250,,,,,True,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 25 shtuk!!!
90,16-04-2020 05:46:13,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2777,147429,55000,4901,2000,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
91,16-04-2020 05:46:13,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7371,2750,245,100,,,,,,,,,True,,,kur'er v Batumi
92,16-04-2020 05:46:13,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,18429,6875,613,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,16-04-2020 05:46:13,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,18429,6875,613,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
94,16-04-2020 05:46:13,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0808,1105718,412500,36759,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
95,16-04-2020 05:46:13,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0687,36857,13750,1225,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,16-04-2020 05:47:57,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0197,10689,3988,355,145,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,16-04-2020 05:47:57,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0497,26906,10038,894,365,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,16-04-2020 05:47:57,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0374,20271,7563,674,275,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
