,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
79,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0876,46562,17072,1543,599,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
80,29-03-2020 00:16:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1594,85506,31350,2833,1100,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
81,29-03-2020 00:16:27,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3477,186558,68400,6181,2400,True,,,,,,,,,,,100 gr marijuana buds
82,29-03-2020 00:16:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2897,155465,57000,5151,2000,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
83,29-03-2020 00:16:27,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2926,155465,57000,5151,2000,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
84,29-03-2020 00:16:27,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3622,194331,71250,6439,2500,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
85,29-03-2020 00:16:27,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2195,116599,42750,3863,1500,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
86,29-03-2020 00:16:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6664,357570,131100,11847,4600,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
87,29-03-2020 00:16:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0865,582994,213750,19316,7500,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
88,29-03-2020 00:16:27,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2314,660726,242250,21891,8500,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
