,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
84,84,14-02-2020 23:49:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0772,52000,23928,1799,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
85,85,14-02-2020 23:49:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0376,25318,9831,878,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
86,86,14-02-2020 23:49:36,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1714,126907,49280,4400,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
87,87,14-02-2020 23:49:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0754,50763,19712,1760,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
88,88,14-02-2020 23:49:36,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0342,25318,9831,878,399.0,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
89,89,14-02-2020 23:49:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2097,141184,54824,4895,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
90,90,14-02-2020 23:49:36,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0769,51271,19909,1778,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
91,91,14-02-2020 23:49:36,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0285,18973,7367,658,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
92,92,14-02-2020 23:49:36,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0428,28554,11088,990,450.0,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
93,93,14-02-2020 23:49:36,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2828,209397,81312,7260,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
94,94,14-02-2020 23:49:36,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0543,38072,14784,1320,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
95,95,14-02-2020 23:49:36,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1028,76144,29568,2640,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
96,96,14-02-2020 23:49:36,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0814,57108,22176,1980,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
97,97,14-02-2020 23:49:36,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0896,60281,23408,2090,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
98,98,14-02-2020 23:49:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1885,126907,49280,4400,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
99,99,14-02-2020 23:50:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1887,126907,49280,4400,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
100,100,14-02-2020 23:50:09,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1698,114216,44352,3960,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
101,101,14-02-2020 23:50:09,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2359,158634,61600,5500,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
102,102,14-02-2020 23:50:09,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0369,27285,10595,946,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
103,103,14-02-2020 23:50:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.434,291887,113344,10120,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
