,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Vake,$,Авлобари,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
73,73,03-05-2020 04:44:55,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.039,10037,891,26836,,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,03-05-2020 04:44:55,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5279,136000,12072,363632,,5000.0,,,,,,,,,,,,,METADON - 20 G.
75,75,03-05-2020 04:44:55,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0632,16293,1446,43563,,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,76,03-05-2020 04:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.115,29920,2656,79999,,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
77,77,03-05-2020 04:44:55,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,1,Тбилиси,50 гр,0.1449,38080,3380,101817,,1400.0,,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
78,78,03-05-2020 04:44:55,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2509,65280,5794,174543,,2400.0,,,,,,,,,,,,,100 gr marijuana buds
79,79,03-05-2020 04:44:55,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3136,81600,7243,218179,,3000.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
80,80,03-05-2020 04:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2091,54400,4829,145453,,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,81,03-05-2020 04:44:55,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2613,68000,6036,181816,,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,82,03-05-2020 04:44:55,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6167,160480,14244,429085,,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
83,83,03-05-2020 04:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4808,125120,11106,334541,,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,84,03-05-2020 04:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.784,204000,18107,545447,,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,85,03-05-2020 04:44:55,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8885,231200,20522,618174,,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
86,86,03-05-2020 04:44:55,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,5440,483,14545,,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
87,87,03-05-2020 04:44:55,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,5440,483,14545,,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,03-05-2020 04:44:55,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0261,6800,604,18182,,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,89,03-05-2020 04:44:55,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0209,5440,483,14545,,200.0,,,,,,,,,,,,,Rabota na marki (kur'er)
90,90,03-05-2020 04:44:55,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5822,408000,36215,1090895,,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
91,91,03-05-2020 04:46:16,Batumi,54915c4374,Батуми н-бооом 2 штуки,,2,нет,Батуми,2 гр,0.0036,950,84,2532,,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
92,92,03-05-2020 04:46:16,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.23,59840,5311,159998,,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
93,93,03-05-2020 04:46:16,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0064,1663,147,4431,,,,,,,,,,,56.0,,True,,Marki N-VoooooM!!!! 4 shtuki
94,94,03-05-2020 04:46:16,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0115,2992,266,8000,,110.0,,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
95,95,03-05-2020 04:46:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,2720,241,7273,,100.0,,,,,,,,,,,True,,kur'er v Batumi
96,96,03-05-2020 04:46:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,6800,604,18182,,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,97,03-05-2020 04:46:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,6800,604,18182,,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
98,98,03-05-2020 04:46:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5822,408000,36215,1090895,,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
99,99,03-05-2020 04:46:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,13600,1207,36363,,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
