,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Old Tbilisi (Старый город),Дигоми,Авлобари,Центр,Батуми,Кутаиси,desc_en
55,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,14049,5206,465,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0672,36159,13399,1196,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
57,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.026,13975,5179,462,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,18-04-2020 04:24:23,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1224,66550,24660,2201,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,18-04-2020 04:24:23,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0952,51761,19180,1712,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,18-04-2020 04:24:23,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,23662,8768,782,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,18-04-2020 04:24:23,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1088,59155,21920,1956,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,18-04-2020 04:24:23,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3027,164526,60965,5440,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1991,107145,39703,3543,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0507,27285,10111,902,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0411,22109,8193,731,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,18-04-2020 04:24:23,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0551,29947,11097,990,405,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
67,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0823,44293,16413,1465,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,18-04-2020 04:25:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1494,81339,30140,2690,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
69,18-04-2020 04:25:24,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.326,177466,65760,5868,2400,,,,,,,,,,,,100 gr marijuana buds
70,18-04-2020 04:25:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2717,147888,54800,4890,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,18-04-2020 04:25:24,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2744,147888,54800,4890,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
72,18-04-2020 04:25:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3396,184860,68500,6113,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,18-04-2020 04:25:24,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8015,436270,161660,14426,5900,,,,,,,,,,,,180 gr marihuana persoalno
74,18-04-2020 04:25:24,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4279,232924,86310,7702,3150,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
75,18-04-2020 04:25:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6249,340143,126040,11247,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,18-04-2020 04:25:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0188,554581,205500,18338,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
