,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
58,58,18-02-2020 15:58:01,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0161,10139,3897,349,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
59,59,18-02-2020 15:58:01,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0157,9884,3799,340,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
60,60,18-02-2020 15:58:01,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0177,11160,4289,384,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
61,61,18-02-2020 15:58:01,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0149,9565,3677,329,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
62,62,18-02-2020 15:58:01,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0161,10139,3897,349,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
63,63,18-02-2020 15:58:01,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0782,54778,21054,1885,859.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
64,64,18-02-2020 15:58:01,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0059,4145,1593,143,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
65,65,18-02-2020 15:58:01,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0202,13392,5147,461,210.0,,,,,,,,,,,gashish evro 5g
66,66,18-02-2020 15:58:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,7,нет,Тбилиси,10 гр,0.0267,17027,6544,586,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
67,67,18-02-2020 15:58:48,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0384,25508,9804,878,400.0,,,,,,,,,,,gashish evro 10g
68,68,18-02-2020 15:58:48,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,13,нет,Тбилиси,10 гр,0.0086,6058,2328,208,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
69,69,18-02-2020 15:58:48,Tbilisi,84c8f0bee0,шишки 11гр. (наркуш феминиз),True,1,нет,Тбилиси,11 гр,0.01,6377,2451,219,100.0,,,,,,,,,,,shishki 11gr. (narkush feminiz)
70,70,18-02-2020 15:58:48,Tbilisi,436325081c,weed leaves 13gr +,True,1,нет,Тбилиси,13 гр,0.0053,3699,1422,127,58.0,,,,,,,,,,,weed leaves 13gr +
71,71,18-02-2020 15:58:48,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0746,49549,19044,1705,777.0,,,,,,,,,,,Gashish Evro 20gr
72,72,18-02-2020 15:58:48,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.023,14476,5564,498,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
73,73,18-02-2020 15:58:48,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0302,19067,7328,656,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
74,74,18-02-2020 15:58:48,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,нет,2,Тбилиси,1 гр,0.0048,3188,1226,110,50.0,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
75,75,18-02-2020 15:58:48,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0607,38262,14706,1317,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
76,76,18-02-2020 15:58:48,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.04,25508,9804,878,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
