,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
61,61,20-05-2020 00:46:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2035,144784,53340,4873,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,20-05-2020 00:46:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2544,180980,66675,6091,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,20-05-2020 00:46:59,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6003,427112,157353,14375,5900.0,,,,,,,,,,180 gr marihuana persoalno
64,64,20-05-2020 00:47:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4681,333002,122682,11208,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,20-05-2020 00:47:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7631,542939,200025,18274,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,20-05-2020 00:47:00,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8649,615330,226695,20710,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,20-05-2020 00:47:00,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,14478,5334,487,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,20-05-2020 00:47:00,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0407,28957,10668,975,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
69,69,20-05-2020 00:47:55,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,14478,5334,487,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,20-05-2020 00:47:55,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0254,18098,6668,609,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,20-05-2020 00:47:55,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5382,1085877,400050,36548,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
72,72,20-05-2020 00:49:04,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2236,159262,58674,5360,2200.0,,,,,,,True,,,[100g] SPAIN HASH
73,73,20-05-2020 00:49:04,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,2613,962,87,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
74,74,20-05-2020 00:49:04,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1586,112990,51992,3771,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,20-05-2020 00:49:04,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2511,178900,82321,5970,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,20-05-2020 00:49:04,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,7239,2667,244,100.0,,,,,,,True,,,kur'er v Batumi
77,77,20-05-2020 00:49:04,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,18098,6668,609,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,20-05-2020 00:49:04,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,18098,6668,609,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,20-05-2020 00:49:04,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5382,1085877,400050,36548,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,20-05-2020 00:49:04,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,36196,13335,1218,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,20-05-2020 00:50:25,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0209,15202,5601,512,210.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,82,20-05-2020 00:50:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0488,35110,12935,1182,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,20-05-2020 00:50:25,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0372,26785,9868,902,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,20-05-2020 00:50:25,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,14478,5334,487,200.0,,,,,,,,,True,Rabota na marki (kur'er)
