,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,28-04-2020 03:40:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2519,148992,54700,4926,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,28-04-2020 03:40:04,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3149,186240,68375,6158,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,28-04-2020 03:40:04,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7431,439526,161365,14532,5900,,,,,,,,,,,180 gr marihuana persoalno
56,28-04-2020 03:40:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5794,342682,125810,11330,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
57,28-04-2020 03:40:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9446,558720,205125,18473,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
58,28-04-2020 03:40:04,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0706,633216,232475,20936,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
59,28-04-2020 03:40:04,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0229,14899,5470,493,200,,,,,,,,,,,KURYER..500RUB.+BONUS
60,28-04-2020 03:40:04,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0252,14899,5470,493,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,28-04-2020 03:40:04,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0315,18624,6838,616,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
62,28-04-2020 03:40:04,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0252,14899,5470,493,200,,,,,,,,,,,Rabota na marki (kur'er)
63,28-04-2020 03:40:04,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9064,1117440,410250,36945,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
64,28-04-2020 03:41:27,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,1,нет,Батуми,4 гр,0.0068,4442,1628,146,,,,,,55,,,True,,,Batumi n-booom 4 shtuki
65,28-04-2020 03:41:27,Batumi,A3I9,Joookerrr,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0124,8076,2960,265,,,,,,100,,,True,,,Batumi n-booom 10 shtuk
