,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
65,06-06-2020 18:10:13,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2442,164717,64440,5714,2400,,,,,,,,,,,100 gr marijuana buds
66,06-06-2020 18:10:13,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2035,137264,53700,4762,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,06-06-2020 18:10:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2544,171580,67125,5953,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,06-06-2020 18:10:13,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6004,404928,158415,14048,5900,,,,,,,,,,,180 gr marihuana persoalno
69,06-06-2020 18:10:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7634,514739,201375,17858,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,06-06-2020 18:10:55,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8652,583371,228225,20239,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,06-06-2020 18:10:55,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,13726,5370,476,200,,,,,,,,,,,KURYER..500RUB.+BONUS
72,06-06-2020 18:10:55,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0204,13726,5370,476,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,06-06-2020 18:10:55,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0254,17158,6713,595,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,06-06-2020 18:10:55,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5407,1029479,402750,35715,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,06-06-2020 18:12:34,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0419,28825,11277,1000,420,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
76,06-06-2020 18:12:34,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5141,343160,134250,11905,5000,,,,,,,True,,,,METADON - 20 G.
77,06-06-2020 18:12:34,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3920,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,06-06-2020 18:12:34,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6207,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,06-06-2020 18:12:34,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6863,2685,238,100,,,,,,,True,,,,kur'er v Batumi
80,06-06-2020 18:12:34,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17158,6713,595,250,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
81,06-06-2020 18:12:34,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17158,6713,595,250,,,,,,,True,,,,Ischu kur'era v Gruzii!
82,06-06-2020 18:12:34,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13726,5370,476,200,,,,,,,True,,,,Kur'er Batumi na marihuanu
83,06-06-2020 18:12:34,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0289,19491,7600,676,,,,,,,,True,250,,,Rabota na marki (kur'er)
84,06-06-2020 18:12:34,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5409,1029479,402750,35715,15000,,,,,,,True,,,,Vakansija optovogo kur'era na mef
85,06-06-2020 18:12:34,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34316,13425,1191,500,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,06-06-2020 18:14:06,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0289,19491,7600,676,,,,,,,,,250,,True,Rabota na marki (kur'er)
