,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
79,07-03-2020 10:59:49,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,27,нет,Батуми,1 гр,0.0193,13504,5026,448,200,,,,,,,,True,,,NZT-52 limited 1 g muka
80,07-03-2020 10:59:49,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,5,нет,Батуми,1 гр,0.0064,4051,1508,134,60,,,,,,,,True,,,ORANGE PUNCH [1g]
81,07-03-2020 10:59:49,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0348,24306,9047,806,360,,,,,,,,True,,,NZT-52 limited 2g muka
82,07-03-2020 10:59:49,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0106,6752,2513,224,100,,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
83,07-03-2020 10:59:49,Batumi,CL7K,go420times,ТРАВА ORANGE PUNCH [2g],,3,нет,Батуми,2 гр,0.0053,3376,1257,112,50,,,,,,,,True,,,TRAVA ORANGE PUNCH [2g]
84,07-03-2020 10:59:49,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0266,16879,6283,560,250,,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
85,07-03-2020 10:59:49,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1596,101276,37695,3359,1500,,,,,,,,True,,,Skunk! 50 gr.
86,07-03-2020 10:59:49,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,2,5,Батуми,0.27 гр,0.029,18230,6785,605,270,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
87,07-03-2020 10:59:49,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0193,13504,5026,448,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
88,07-03-2020 10:59:49,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2149,135035,50260,4479,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
