,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
62,19-03-2020 12:25:55,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0294,13898,5094,439,180,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,19-03-2020 12:25:55,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1456,69492,25470,2197,900,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,19-03-2020 12:25:55,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1132,54049,19810,1709,700,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,19-03-2020 12:25:55,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0645,30808,11292,974,399,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,19-03-2020 12:26:53,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0574,27025,9905,854,350,True,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
67,19-03-2020 12:26:53,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.13,61770,22640,1953,800,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,19-03-2020 12:26:53,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3616,171799,62968,5432,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,19-03-2020 12:26:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2378,111882,41007,3537,1449,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,19-03-2020 12:26:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0606,28492,10443,901,369,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,19-03-2020 12:26:53,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0491,23087,8462,730,299,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,19-03-2020 12:26:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0983,46251,16952,1462,599,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,19-03-2020 12:26:53,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1773,92656,33960,2930,1200,True,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,19-03-2020 12:26:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.325,154426,56600,4883,2000,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,19-03-2020 12:26:53,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3283,154426,56600,4883,2000,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,19-03-2020 12:26:53,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.4063,193033,70750,6103,2500,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,19-03-2020 12:26:53,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2462,115820,42450,3662,1500,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,19-03-2020 12:26:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.7476,355180,130180,11230,4600,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,19-03-2020 12:26:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.2188,579098,212250,18310,7500,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,19-03-2020 12:26:53,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.3813,656311,240550,20751,8500,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,19-03-2020 12:26:53,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0295,15443,5660,488,200,True,,,,,,,,,,,KURYER..500RUB.+BONUS
82,19-03-2020 12:26:53,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0222,11582,4245,366,150,True,,,,,,,,,,,Rabota na marki (kur'er)
83,19-03-2020 12:26:53,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0325,15443,5660,488,200,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,19-03-2020 12:26:53,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0406,19303,7075,610,250,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,19-03-2020 12:26:53,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.4598,1158197,424500,36620,15000,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,19-03-2020 12:28:25,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,27,нет,Батуми,1 гр,0.028,14670,5377,464,190,,,,,,,,,True,,,NZT-52 limited 1 g muka
87,19-03-2020 12:28:25,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0502,26252,9622,830,340,,,,,,,,,True,,,NZT-52 limited 2g muka
88,19-03-2020 12:28:25,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.357,169869,62260,5371,2200,,,,,,,,,True,,,[100g] SPAIN HASH
89,19-03-2020 12:28:25,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0295,15443,5660,488,200,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
90,19-03-2020 12:28:25,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3278,154426,56600,4883,2000,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
91,19-03-2020 12:28:25,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2459,115820,42450,3662,1500,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
92,19-03-2020 12:28:25,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0148,7721,2830,244,100,,,,,,,,,True,,,kur'er v Batumi
93,19-03-2020 12:28:25,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0369,19303,7075,610,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
94,19-03-2020 12:28:25,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0221,11582,4245,366,150,,,,,,,,,True,,,Rabota na marki (kur'er)
95,19-03-2020 12:28:25,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0369,19303,7075,610,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
96,19-03-2020 12:28:25,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4564,1158197,424500,36620,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
97,19-03-2020 12:28:25,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0811,38607,14150,1221,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,19-03-2020 12:29:23,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,1 гр,0.0329,15829,5802,500,205,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
