,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Тбилиси,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
64,08-05-2020 15:43:31,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2225,164366,60186,5459,2225,,True,,,,,,,,,,Amfetamin [White] [Import] 10G
65,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1574,115167,42171,3825,1559,,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0373,27259,9981,905,369,,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,08-05-2020 15:43:31,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.505,369363,135250,12267,5000,,True,,,,,,,,,,METADON - 20 G.
68,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0605,44250,16203,1470,599,,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
69,08-05-2020 15:44:17,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0606,44250,16203,1470,599,,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,08-05-2020 15:44:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1103,81260,29755,2699,1100,,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,08-05-2020 15:44:17,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2406,177294,64920,5888,2400,,True,,,,,,,,,,100 gr marijuana buds
72,08-05-2020 15:44:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2005,147745,54100,4907,2000,,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,08-05-2020 15:44:17,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2506,184681,67625,6133,2500,,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,08-05-2020 15:44:17,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5914,435848,159595,14474,5900,,True,,,,,,,,,,180 gr marihuana persoalno
75,08-05-2020 15:44:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4611,339814,124430,11285,4600,,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,08-05-2020 15:44:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7518,554044,202875,18400,7500,,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,08-05-2020 15:44:17,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.852,627916,229925,20853,8500,,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,08-05-2020 15:44:17,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0182,14775,5410,491,200,,True,,,,,,,,,,KURYER..500RUB.+BONUS
79,08-05-2020 15:44:17,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.02,14775,5410,491,200,,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,08-05-2020 15:44:17,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0251,18468,6763,613,250,,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
81,08-05-2020 15:44:17,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.02,14775,5410,491,200,,True,,,,,,,,,,Rabota na marki (kur'er)
82,08-05-2020 15:44:17,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5173,1108088,405750,36800,15000,,True,,,,,,,,,,Vakansija optovogo kur'era na mef
83,08-05-2020 15:45:53,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0021,1520,556,50,,,,,,,,,True,19,,,Batumi n-booom 1 shtuka
84,08-05-2020 15:45:53,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.22,162520,59510,5397,2200,,,,,,,,,,True,,[100g] SPAIN HASH
85,08-05-2020 15:45:53,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.008,5910,2164,196,80,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
86,08-05-2020 15:45:53,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1529,112990,51992,3749,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,08-05-2020 15:45:53,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2421,178900,82321,5936,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,08-05-2020 15:45:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,7387,2705,245,100,,,,,,,,,,True,,kur'er v Batumi
89,08-05-2020 15:45:53,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0227,18468,6763,613,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,08-05-2020 15:45:53,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0227,18468,6763,613,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
91,08-05-2020 15:45:53,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5134,1108088,405750,36800,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
92,08-05-2020 15:45:53,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.05,36936,13525,1227,500,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,08-05-2020 15:47:22,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0185,13666,5004,454,185,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
94,08-05-2020 15:47:22,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0485,35828,13119,1190,485,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
95,08-05-2020 15:47:22,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.033,24378,8927,810,330,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
96,08-05-2020 15:47:22,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.02,14775,5410,491,200,,,,,,,,,,,True,Rabota na marki (kur'er)
