,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
55,55,01-03-2020 22:43:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2508,149055,54958,4982,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,01-03-2020 22:43:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1649,97070,35790,3244,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,01-03-2020 22:43:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.042,24720,9114,826,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,01-03-2020 22:43:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.034,20030,7385,670,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,59,01-03-2020 22:43:54,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0797,46894,17290,1567,700.0,,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
60,60,01-03-2020 22:43:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0682,40128,14795,1341,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,01-03-2020 22:43:54,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0757,46894,17290,1567,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,62,01-03-2020 22:43:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1229,80389,29640,2687,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
63,63,01-03-2020 22:43:54,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.10800000000000001,66924,24675,2237,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
64,64,01-03-2020 22:43:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2254,133982,49400,4478,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,01-03-2020 22:43:54,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2277,133982,49400,4478,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
66,66,01-03-2020 22:43:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2818,167477,61750,5598,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,01-03-2020 22:43:54,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1707,100486,37050,3359,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
68,68,01-03-2020 22:43:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5184,308158,113620,10300,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,01-03-2020 22:43:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8453,502432,185250,16793,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,01-03-2020 22:44:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.958,569423,209950,19032,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,01-03-2020 22:44:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0205,13398,4940,448,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,01-03-2020 22:44:51,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0205,13398,4940,448,200.0,,,,,,,,,,,Trebuetsja Kur'er
73,73,01-03-2020 22:44:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0225,13398,4940,448,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,01-03-2020 22:44:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,01-03-2020 22:44:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7059,1004864,370500,33587,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,01-03-2020 22:46:52,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1695,100486,37050,3359,1500.0,,,,,,,,True,,,Skunk! 50 gr.
77,77,01-03-2020 22:46:52,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,1,5,Батуми,0.27 гр,0.0308,18088,6669,605,270.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
78,78,01-03-2020 22:46:52,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0205,13398,4940,448,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
79,79,01-03-2020 22:46:52,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2282,133982,49400,4478,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
80,80,01-03-2020 22:46:52,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1712,100486,37050,3359,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,81,01-03-2020 22:46:52,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0114,6699,2470,224,100.0,,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
82,82,01-03-2020 22:46:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50.0,,,,,,,,True,,,kur'er v Batumi
83,83,01-03-2020 22:46:52,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50.0,,,,,,,,True,,,Vakansija Kur'era v Batumi
84,84,01-03-2020 22:46:52,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0077,5000,2301,167,,,,,,,,,True,,,Vakansija Kur'era v Batumi
85,85,01-03-2020 22:46:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0257,16748,6175,560,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
86,86,01-03-2020 22:46:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0257,16748,6175,560,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
87,87,01-03-2020 22:46:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.71,1004864,370500,33587,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,01-03-2020 22:46:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0565,33495,12350,1120,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,01-03-2020 22:48:24,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0084,4957,1828,166,74.0,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
90,90,01-03-2020 22:48:24,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0123,7235,2668,242,108.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
91,91,01-03-2020 22:48:24,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0114,6699,2470,224,100.0,,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
