,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
91,13-03-2020 16:20:53,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0292,14638,5362,469,200,,,,,,,,,,,KURYER..500RUB.+BONUS
92,13-03-2020 16:20:53,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0219,10978,4022,352,150,,,,,,,,,,,Rabota na marki (kur'er)
93,13-03-2020 16:20:53,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0321,14638,5362,469,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,13-03-2020 16:20:53,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0401,18297,6703,587,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
95,13-03-2020 16:20:53,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4271,1097823,402150,35211,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
96,13-03-2020 16:21:57,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0289,14638,5362,469,200,,,,,,,,True,,,NZT-52 limited 1 g muka
97,13-03-2020 16:21:57,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0521,26348,9652,845,360,,,,,,,,True,,,NZT-52 limited 2g muka
98,13-03-2020 16:21:57,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2386,109782,40215,3521,1500,,,,,,,,True,,,Skunk! 50 gr.
99,13-03-2020 16:21:57,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,1,5,Батуми,0.27 гр,0.0434,19761,7239,634,270,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
100,13-03-2020 16:21:57,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0289,14638,5362,469,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
