,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
59,20-04-2020 04:16:19,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0506,27285,10111,902,369,True,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,20-04-2020 04:16:19,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.041,22109,8193,731,299,True,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
61,20-04-2020 04:16:19,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,нет,1,Тбилиси,20 гр,0.0549,29947,11097,990,405,True,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
62,20-04-2020 04:16:19,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0821,44293,16413,1465,599,True,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,20-04-2020 04:16:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1492,81339,30140,2690,1100,True,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
64,20-04-2020 04:16:19,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3255,177466,65760,5868,2400,True,,,,,,,,,,,,100 gr marijuana buds
65,20-04-2020 04:16:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2713,147888,54800,4890,2000,True,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
66,20-04-2020 04:16:19,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.274,147888,54800,4890,2000,True,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
67,20-04-2020 04:16:19,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3391,184860,68500,6113,2500,True,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,20-04-2020 04:17:00,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.8003,436270,161660,14426,5900,True,,,,,,,,,,,,180 gr marihuana persoalno
69,20-04-2020 04:17:00,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4273,232924,86310,7702,3150,True,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
70,20-04-2020 04:17:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.624,340143,126040,11247,4600,True,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,20-04-2020 04:17:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0173,554581,205500,18338,7500,True,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,20-04-2020 04:17:00,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.153,628525,232900,20783,8500,True,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,20-04-2020 04:17:00,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0247,14789,5480,489,200,True,,,,,,,,,,,,KURYER..500RUB.+BONUS
74,20-04-2020 04:17:00,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0271,14789,5480,489,200,True,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,20-04-2020 04:17:00,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0339,18486,6850,611,250,True,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,20-04-2020 04:17:00,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0271,14789,5480,489,200,True,,,,,,,,,,,,Rabota na marki (kur'er)
77,20-04-2020 04:17:00,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0532,1109162,411000,36675,15000,True,,,,,,,,,,,,Vakansija optovogo kur'era na mef
78,20-04-2020 04:18:54,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0024,1442,536,48,,,,,,,,,,True,18,,,Batumi n-booom 1 shtuka
79,20-04-2020 04:18:54,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,10,нет,Батуми,2 гр,0.0047,2564,953,85,,,,,,,,,,,32,True,,Batumi n-booom 2 shtuki
80,20-04-2020 04:18:54,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.0074,4406,1637,146,,,,,,,,,,True,55,,,Batumi n-booom 4 shtuki
81,20-04-2020 04:18:54,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2991,162677,60280,5379,2200,,,,,,,,,,,True,,[100g] SPAIN HASH
