,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Didube,Gldani,€,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
75,15-04-2020 15:52:09,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3402,68750,6134,184286,,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,15-04-2020 15:52:09,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.803,162250,14476,434916,,5900,,,,,,,,,,180 gr marihuana persoalno
77,15-04-2020 15:52:09,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4287,86625,7729,232201,,3150,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
78,15-04-2020 15:52:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6261,126500,11286,339087,,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,15-04-2020 15:52:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0207,206250,18401,552859,,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,15-04-2020 15:52:09,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1568,233750,20855,626573,,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,15-04-2020 15:52:09,Tbilisi,LGRP8,Walker12,!!!Вызиваем опитного курера в команду !!!.,True,1,нет,Тбилиси,1 гр,0.0124,3221,234,7000,,,,,,,,,,,,!!!Vyzivaem opitnogo kurera v komandu !!!.
82,15-04-2020 15:52:09,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,5500,491,14743,,200,,,,,,,,,,KURYER..500RUB.+BONUS
83,15-04-2020 15:52:09,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,5500,491,14743,,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,15-04-2020 15:52:09,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,6875,613,18429,,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,15-04-2020 15:52:09,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0601,412500,36803,1105718,,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
