,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
72,72,03-05-2020 23:02:51,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,5168,459,13818,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
73,73,03-05-2020 23:02:51,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0527,13301,1181,35563,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
74,74,03-05-2020 23:02:51,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0204,5141,456,13745,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
75,75,03-05-2020 23:02:51,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0117,2992,266,8000,110.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
76,76,03-05-2020 23:02:51,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.096,24480,2173,65454,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,77,03-05-2020 23:02:51,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0427,10880,966,29091,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
78,78,03-05-2020 23:02:51,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0746,19040,1690,50908,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
79,79,03-05-2020 23:02:51,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0341,8704,773,23272,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
80,80,03-05-2020 23:02:51,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0107,2720,241,7273,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
81,81,03-05-2020 23:02:51,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0853,21760,1931,58181,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
82,82,03-05-2020 23:02:51,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,2,Тбилиси,10 гр,0.0309,7888,700,21091,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
83,83,03-05-2020 23:02:51,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2372,60520,5372,161816,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
84,84,03-05-2020 23:02:51,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1679,42405,3764,113380,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
85,85,03-05-2020 23:02:51,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0397,10037,891,26836,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
