,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
76,11-02-2020 07:00:09,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0492,31184,12078,1068,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
77,11-02-2020 07:00:09,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0181,11479,4446,393,180,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
78,11-02-2020 07:00:09,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0397,25445,9855,872,399,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,11-02-2020 07:00:09,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.181,127542,49400,4369,2000,,,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
80,11-02-2020 07:00:09,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0796,51017,19760,1748,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,11-02-2020 07:00:09,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0361,25445,9855,872,399,,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
82,11-02-2020 07:00:09,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2215,141890,54958,4861,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
83,11-02-2020 07:00:09,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0812,51527,19958,1765,808,,,,,,,,,,,,,💘✨10gram MDMA ✨💘
84,11-02-2020 07:00:09,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0301,19067,7385,653,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,11-02-2020 07:00:09,Tbilisi,V8EPD,GREENWEED,SALE 50%. Шишки 11гр (лсд феминиз),True,нет,2,Тбилиси,11 гр,0.0149,9566,3705,328,150,,,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
86,11-02-2020 07:00:09,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0452,28697,11115,983,450,,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
87,11-02-2020 07:00:09,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2987,210444,81510,7210,3300,,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
88,11-02-2020 07:00:09,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0573,38262,14820,1311,600,,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
89,11-02-2020 07:00:09,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1086,76525,29640,2622,1200,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
90,11-02-2020 07:00:09,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.086,57394,22230,1966,900,,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
91,11-02-2020 07:00:09,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0946,60582,23465,2075,950,,,,,,,,,,,,,Hybrid Skunk! 50 gr
92,11-02-2020 07:00:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1991,127542,49400,4369,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,11-02-2020 07:00:09,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1792,114787,44460,3932,1800,,,,,,,,,,,,,Hybrid Skunk! 100 gr
94,11-02-2020 07:00:09,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2489,159427,61750,5462,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
95,11-02-2020 07:00:09,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0389,27421,10621,939,430,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
96,11-02-2020 07:00:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.458,293346,113620,10050,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
97,11-02-2020 07:00:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7467,478281,185250,16385,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
98,11-02-2020 07:00:09,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8462,542052,209950,18570,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
99,11-02-2020 07:00:36,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0181,12754,4940,437,200,,,,,,,,,,,,,Trebuetsja Kur'er
