,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,63,29-02-2020 23:30:28,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.168,100486,37050,3359,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
64,64,29-02-2020 23:30:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.51,308158,113620,10300,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,29-02-2020 23:30:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8314,502432,185250,16793,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,29-02-2020 23:30:28,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9423,569423,209950,19032,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,29-02-2020 23:30:28,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0202,13398,4940,448,200.0,,,,,,,,,KURYER..500RUB.+BONUS
68,68,29-02-2020 23:30:28,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0202,13398,4940,448,200.0,,,,,,,,,Trebuetsja Kur'er
69,69,29-02-2020 23:31:20,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0222,13398,4940,448,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,29-02-2020 23:31:20,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0277,16748,6175,560,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,29-02-2020 23:31:20,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6773,1004864,370500,33587,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
72,72,29-02-2020 23:33:10,Batumi,30f48d507d,Hybrid Skunk! 5 gr,,1,нет,Батуми,5 гр,0.0277,16748,6175,560,250.0,,,,,,True,,,Hybrid Skunk! 5 gr
73,73,29-02-2020 23:33:10,Batumi,30f48d507d,Hybrid Skunk! 10 gr,,1,нет,Батуми,10 гр,0.0499,30146,11115,1008,450.0,,,,,,True,,,Hybrid Skunk! 10 gr
