,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
57,57,06-04-2020 13:12:33,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0264,14769,5225,489,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,06-04-2020 13:12:33,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.068,38011,13448,1258,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,06-04-2020 13:12:33,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,1,5,Тбилиси,5 гр,0.0263,14691,5198,486,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,06-04-2020 13:12:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1239,69959,24750,2315,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,06-04-2020 13:12:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0964,54413,19250,1801,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,06-04-2020 13:12:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0441,24874,8800,823,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,06-04-2020 13:12:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1102,62186,22000,2058,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,06-04-2020 13:12:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3064,172955,61188,5723,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
65,65,06-04-2020 13:13:34,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2015,112634,39848,3727,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,66,06-04-2020 13:13:34,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0513,28683,10148,949,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,67,06-04-2020 13:13:34,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0416,23242,8223,769,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
68,68,06-04-2020 13:13:34,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,нет,8,Тбилиси,20 гр,0.0558,31482,11138,1042,405.0,True,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
69,69,06-04-2020 13:13:34,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0833,46562,16473,1541,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,06-04-2020 13:13:34,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,,нет,13,Тбилиси,50 гр,0.1375,77655,27473,2570,999.0,True,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
71,71,06-04-2020 13:13:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1514,85506,30250,2829,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,72,06-04-2020 13:13:34,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3304,186558,66000,6173,2400.0,True,,,,,,,,,,100 gr marijuana buds
73,73,06-04-2020 13:13:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2753,155465,55000,5144,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,06-04-2020 13:13:34,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2781,155465,55000,5144,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,75,06-04-2020 13:13:34,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3441,194331,68750,6431,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,76,06-04-2020 13:13:34,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2085,116599,41250,3858,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
77,77,06-04-2020 13:13:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6332,357570,126500,11832,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
78,78,06-04-2020 13:13:34,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0324,582994,206250,19292,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,79,06-04-2020 13:13:34,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.17,660726,233750,21864,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,80,06-04-2020 13:13:34,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.025,15547,5500,514,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
81,81,06-04-2020 13:13:34,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0275,15547,5500,514,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,06-04-2020 13:13:34,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0344,19433,6875,643,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,83,06-04-2020 13:13:34,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0836,1165988,412500,38583,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,06-04-2020 13:15:18,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,1,нет,Батуми,1 гр,0.0139,7851,2778,260,101.0,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
85,85,06-04-2020 13:15:18,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,7,нет,Батуми,2 гр,0.0048,2954,1045,98,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
86,86,06-04-2020 13:15:18,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3028,171012,60500,5659,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
87,87,06-04-2020 13:15:18,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.025,15547,5500,514,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
88,88,06-04-2020 13:15:18,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2781,155465,55000,5144,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
89,89,06-04-2020 13:15:18,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2085,116599,41250,3858,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,90,06-04-2020 13:15:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7773,2750,257,100.0,,,,,,,,,True,,kur'er v Batumi
91,91,06-04-2020 13:15:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,19433,6875,643,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,06-04-2020 13:15:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,19433,6875,643,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,93,06-04-2020 13:15:18,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0375,23320,8250,772,300.0,,,,,,,,,True,,Rabota na marki (kur'er)
94,94,06-04-2020 13:15:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0836,1165988,412500,38583,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
95,95,06-04-2020 13:15:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0688,38866,13750,1286,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,96,06-04-2020 13:17:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.026000000000000002,14847,5253,491,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,06-04-2020 13:17:38,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0197,11271,3988,373,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,98,06-04-2020 13:17:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0497,28372,10038,939,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
99,99,06-04-2020 13:17:38,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,1,нет,Кутаиси,2 гр,0.0048,2954,1045,98,38.0,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
