,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Old Tbilisi (Старый город),Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
66,66,05-05-2020 03:21:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,6380,577,17091,,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
67,67,05-05-2020 03:21:40,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.017,4344,393,11636,,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
68,68,05-05-2020 03:21:40,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",True,нет,73,Тбилиси,5 гр,0.0053,1358,123,3636,,50.0,,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
69,69,05-05-2020 03:21:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2519,87429,6175,190000,,,,,,,,,,,,,,reagent 25i nbome. 5gr
70,70,05-05-2020 03:22:23,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2902,81450,7363,218179,,3000.0,True,,,,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,71,05-05-2020 03:22:24,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1031,26037,2354,69745,,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
72,72,05-05-2020 03:22:24,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,3,Тбилиси,5 гр,0.0203,5131,464,13745,,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
73,73,05-05-2020 03:22:24,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0204,5159,466,13818,,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,74,05-05-2020 03:22:24,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0525,13276,1200,35563,,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
75,75,05-05-2020 03:22:24,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0203,5131,464,13745,,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
