,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
63,63,23-03-2020 01:06:10,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1364,70240,25290,2303,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,23-03-2020 01:06:10,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1061,54631,19670,1791,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,23-03-2020 01:07:07,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0526,27316,9835,896,350.0,True,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
66,66,23-03-2020 01:07:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.11900000000000001,62435,22480,2047,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,23-03-2020 01:07:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3308,173649,62523,5694,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,23-03-2020 01:07:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2176,113086,40717,3708,1449.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,23-03-2020 01:07:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0554,28798,10369,944,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,23-03-2020 01:07:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0449,23335,8402,765,299.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,71,23-03-2020 01:07:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.09,46749,16832,1533,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,72,23-03-2020 01:07:07,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1622,93653,33720,3071,1200.0,True,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
73,73,23-03-2020 01:07:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2974,156089,56200,5118,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,23-03-2020 01:07:07,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3003,156089,56200,5118,2000.0,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
