,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
67,67,10-04-2020 10:32:47,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2794,149210,55000,5032,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
68,68,10-04-2020 10:32:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0126,7461,2750,252,100.0,,,,,,True,,,kur'er v Batumi
69,69,10-04-2020 10:32:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0314,18651,6875,629,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
70,70,10-04-2020 10:32:47,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,5 гр,0.0031,1865,688,63,25.0,,,,,,True,,,Rabota na marki (kur'er)
71,71,10-04-2020 10:32:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0314,18651,6875,629,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
72,72,10-04-2020 10:32:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0935,1119075,412500,37740,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
73,73,10-04-2020 10:32:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0692,37303,13750,1258,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,10-04-2020 10:34:33,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1 гр,0.026000000000000002,14250,5253,481,191.0,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,75,10-04-2020 10:34:33,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0198,10818,3988,365,145.0,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,10-04-2020 10:34:33,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0498,27231,10038,918,365.0,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,10-04-2020 10:34:33,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0184,10072,3713,340,135.0,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,10-04-2020 10:34:33,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0375,20516,7563,692,275.0,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
