,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
73,73,06-03-2020 22:52:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,16879,6283,559,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,06-03-2020 22:52:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.611,1012763,376950,33536,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,06-03-2020 22:54:03,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,27,нет,Батуми,1 гр,0.0193,13504,5026,447,200.0,,,,,,,,True,,,NZT-52 limited 1 g muka
76,76,06-03-2020 22:54:03,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,5,нет,Батуми,1 гр,0.0064,4051,1508,134,60.0,,,,,,,,True,,,ORANGE PUNCH [1g]
77,77,06-03-2020 22:54:03,Batumi,c72111ac1a,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0348,24306,9047,805,360.0,,,,,,,,True,,,NZT-52 limited 2g muka
78,78,06-03-2020 22:54:03,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0106,6752,2513,224,100.0,,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
79,79,06-03-2020 22:54:03,Batumi,3ee37c89bb,ТРАВА ORANGE PUNCH [2g],,3,нет,Батуми,2 гр,0.0053,3376,1257,112,50.0,,,,,,,,True,,,TRAVA ORANGE PUNCH [2g]
80,80,06-03-2020 22:54:03,Batumi,012f23b5ea,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0102,7089,2639,235,105.0,,,,,,,,True,,,Power Africa 2.5 g
81,81,06-03-2020 22:54:03,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0266,16879,6283,559,250.0,,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
82,82,06-03-2020 22:54:03,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1596,101276,37695,3354,1500.0,,,,,,,,True,,,Skunk! 50 gr.
83,83,06-03-2020 22:54:03,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,3,5,Батуми,0.27 гр,0.028999999999999998,18230,6785,604,270.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
84,84,06-03-2020 22:54:03,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0193,13504,5026,447,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
85,85,06-03-2020 22:54:03,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2149,135035,50260,4471,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
86,86,06-03-2020 22:54:03,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1611,101276,37695,3354,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,87,06-03-2020 22:54:03,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0107,6752,2513,224,100.0,,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
88,88,06-03-2020 22:54:03,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0048,3376,1257,112,50.0,,,,,,,,True,,,kur'er v Batumi
89,89,06-03-2020 22:54:03,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,16879,6283,559,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,90,06-03-2020 22:54:03,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0145,10128,3770,335,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
91,91,06-03-2020 22:54:03,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,16879,6283,559,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,06-03-2020 22:54:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.61,1012763,376950,33536,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,93,06-03-2020 22:54:03,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,33759,12565,1118,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,06-03-2020 22:55:35,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0116,7292,2714,241,108.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
95,95,06-03-2020 22:55:35,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0107,6752,2513,224,100.0,,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
96,96,06-03-2020 22:55:35,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0145,10128,3770,335,150.0,,,,,,,,,,True,Rabota na marki (kur'er)
