,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
64,64,25-02-2020 01:28:35,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0087,6109,2328,210,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
65,65,25-02-2020 01:28:35,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0673,45011,17157,1548,700.0,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
66,66,25-02-2020 01:28:35,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0747,49962,19044,1719,777.0,,,,,,,,,,Gashish Evro 20gr
67,67,25-02-2020 01:29:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,True,2,5,Тбилиси,0.17 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
68,68,25-02-2020 01:29:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,2,5,Тбилиси,0.27 гр,0.023,14596,5564,502,227.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
69,69,25-02-2020 01:29:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0304,19290,7353,664,300.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
70,70,25-02-2020 01:29:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0607,38580,14706,1327,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
71,71,25-02-2020 01:29:03,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0167,10738,4093,369,167.0,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
72,72,25-02-2020 01:29:03,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,4,Тбилиси,2 гр,0.016,11454,4377,394,,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
73,73,25-02-2020 01:29:03,Tbilisi,8ddca45a78,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,True,нет,1,Тбилиси,3 гр,0.01,7073,2696,243,110.0,,,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
