,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
61,19-05-2020 09:18:03,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1629,41703,3799,113776,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,19-05-2020 09:18:03,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0385,9871,899,26930,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,19-05-2020 09:18:03,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0329,8426,768,22989,315,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,19-05-2020 09:18:03,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5223,133750,12183,364899,5000,,,,,,,,,,METADON - 20 G.
65,19-05-2020 09:18:03,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0626,16023,1459,43715,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,19-05-2020 09:18:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1138,29425,2680,80278,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
67,19-05-2020 09:18:03,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2482,64200,5848,175152,2400,,,,,,,,,,100 gr marijuana buds
68,19-05-2020 09:18:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2069,53500,4873,145960,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,19-05-2020 09:18:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2588,66875,6091,182450,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,19-05-2020 09:18:26,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6109,157825,14375,430581,5900,,,,,,,,,,180 gr marihuana persoalno
