,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
82,23-05-2020 00:46:51,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0345,25886,9719,863,,,,,,,330,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
83,23-05-2020 00:46:51,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,7,Батуми,2 гр,0.0038,2589,972,86,,,,,,,33,,,True,,,Batumi n-booom 2 shtuki
84,23-05-2020 00:46:51,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0422,28752,10784,954,400,,,,,,,,,True,,,MDMA !! 3 gramma
85,23-05-2020 00:46:51,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1658,112990,51992,3802,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,23-05-2020 00:46:51,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2626,178900,82321,6019,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,23-05-2020 00:46:51,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7188,2696,239,100,,,,,,,,,True,,,kur'er v Batumi
88,23-05-2020 00:46:51,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17970,6740,596,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,23-05-2020 00:46:51,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17970,6740,596,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
90,23-05-2020 00:46:51,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5969,1078206,404400,35784,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,23-05-2020 00:46:51,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35940,13480,1193,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,23-05-2020 00:48:16,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,1,нет,Кутаиси,0.55 гр,0.0021,1581,593,52,22,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
93,23-05-2020 00:48:16,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 1.1г бтк скидка 10% !!,,5,нет,Кутаиси,1.1 гр,0.0029,2156,809,72,30,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 1.1g btk skidka 10% !!
94,23-05-2020 00:48:16,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0507,34862,13076,1157,485,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,23-05-2020 00:48:16,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0386,26596,9975,883,370,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,23-05-2020 00:48:16,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0072,5391,2022,179,75,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
97,23-05-2020 00:48:16,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.011,8266,3100,274,115,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
98,23-05-2020 00:48:16,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0211,14376,5392,477,200,,,,,,,,,,,True,Rabota na marki (kur'er)
