,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
72,72,04-08-2020 16:21:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2187,183452,69875,6119,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,73,04-08-2020 16:21:38,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5162,432946,164905,14440,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
74,74,04-08-2020 16:21:38,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0215,18000,8283,594,,,,,,,,True,,,,,GABAGAMA 250 shtuk
75,75,04-08-2020 16:21:38,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0875,73381,27950,2448,1000.0,,,,,True,,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
76,76,04-08-2020 16:21:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7437,623735,237575,20804,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
77,77,04-08-2020 16:21:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0159,14676,5590,490,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
78,78,04-08-2020 16:21:38,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0219,18345,6988,612,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
79,79,04-08-2020 16:21:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0219,18345,6988,612,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,80,04-08-2020 16:21:38,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0477,44028,16770,1469,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
81,81,04-08-2020 16:21:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0175,14676,5590,490,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,04-08-2020 16:21:38,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0219,18345,6988,612,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
