,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
58,27-03-2020 09:24:55,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,27-03-2020 09:24:55,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,27-03-2020 09:24:55,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,27-03-2020 09:24:55,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0281,17240,6263,567,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,27-03-2020 09:24:55,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0427,23617,8580,777,300,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
63,27-03-2020 09:24:55,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,27-03-2020 09:24:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 5 G,True,нет,5,Тбилиси,5 гр,0.2136,118083,42900,3885,1500,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 5 G
65,27-03-2020 09:24:55,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,13,Тбилиси,5 гр,0.0256,15744,5720,518,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
66,27-03-2020 09:24:55,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3093,190000,87429,6262,,,,,,,,,,,reagent 25i nbome. 5gr
67,27-03-2020 09:25:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3848,236167,85800,7770,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
