,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
73,08-03-2020 15:24:14,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0221,13504,5026,448,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,08-03-2020 15:24:14,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0276,16879,6283,560,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,08-03-2020 15:24:14,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6731,1012763,376950,33594,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,08-03-2020 15:25:53,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,23,нет,Батуми,1 гр,0.0201,13504,5026,448,200,,,,,,,,True,,,NZT-52 limited 1 g muka
77,08-03-2020 15:25:53,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,4,нет,Батуми,1 гр,0.0066,4051,1508,134,60,,,,,,,,True,,,ORANGE PUNCH [1g]
78,08-03-2020 15:25:53,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0362,24306,9047,806,360,,,,,,,,True,,,NZT-52 limited 2g muka
79,08-03-2020 15:25:53,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0111,6752,2513,224,100,,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
80,08-03-2020 15:25:53,Batumi,XHR,420Factory,Power Africa 2.5 g,,2,нет,Батуми,2.5 гр,0.0106,7089,2639,235,105,,,,,,,,True,,,Power Africa 2.5 g
81,08-03-2020 15:25:53,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0276,16879,6283,560,250,,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
82,08-03-2020 15:25:53,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1658,101276,37695,3359,1500,,,,,,,,True,,,Skunk! 50 gr.
83,08-03-2020 15:25:53,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0301,18230,6785,605,270,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
84,08-03-2020 15:25:53,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0201,13504,5026,448,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
85,08-03-2020 15:25:53,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2233,135035,50260,4479,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
86,08-03-2020 15:25:53,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1675,101276,37695,3359,1500,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,08-03-2020 15:25:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3376,1257,112,50,,,,,,,,True,,,kur'er v Batumi
88,08-03-2020 15:25:53,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,16879,6283,560,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,08-03-2020 15:25:53,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0151,10128,3770,336,150,,,,,,,,True,,,Rabota na marki (kur'er)
90,08-03-2020 15:25:53,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,16879,6283,560,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,08-03-2020 15:25:53,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6731,1012763,376950,33594,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,08-03-2020 15:25:53,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0553,33759,12565,1120,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,08-03-2020 15:27:04,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0151,10128,3770,336,150,,,,,,,,,,True,Rabota na marki (kur'er)
