,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
65,02-06-2020 13:50:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0182,13942,5380,480,200,,True,,,,,,,,KURYER..500RUB.+BONUS
66,02-06-2020 13:50:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.02,13942,5380,480,200,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,02-06-2020 13:50:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.025,17428,6725,600,250,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,02-06-2020 13:50:47,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,,нет,1,Тбилиси,1 гр,0.02,13942,5380,480,200,,True,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
69,02-06-2020 13:51:29,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5125,1045671,403500,36012,15000,,True,,,,,,,,Vakansija optovogo kur'era na mef
70,02-06-2020 13:53:03,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0056,3904,1506,134,56,,,,,,,True,,,Marki n-BoooooooM 4 sht
71,02-06-2020 13:53:03,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.22,153365,59180,5282,2200,,,,,,,,True,,[100g] SPAIN HASH
72,02-06-2020 13:53:03,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.0225,16034,6187,552,230,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
73,02-06-2020 13:53:03,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0411,29279,11298,1008,420,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
74,02-06-2020 13:53:03,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5049,348557,134500,12004,5000,,,,,,,,True,,METADON - 20 G.
75,02-06-2020 13:53:03,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.162,112990,51992,3897,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,02-06-2020 13:53:03,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2566,178900,82321,6171,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,02-06-2020 13:53:03,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,6971,2690,240,100,,,,,,,,True,,kur'er v Batumi
78,02-06-2020 13:53:03,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0227,17428,6725,600,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
79,02-06-2020 13:53:03,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0227,17428,6725,600,250,,,,,,,,True,,Ischu kur'era v Gruzii!
80,02-06-2020 13:53:03,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.02,13942,5380,480,200,,,,,,,,True,,Kur'er Batumi na marihuanu
81,02-06-2020 13:53:03,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0278,19409,7513,668,,,,,250,,,,True,,Rabota na marki (kur'er)
82,02-06-2020 13:53:03,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5133,1045671,403500,36012,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
83,02-06-2020 13:53:03,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.05,34856,13450,1200,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,02-06-2020 13:54:38,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0303,21541,8312,742,309,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
85,02-06-2020 13:54:38,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0191,13594,5246,468,195,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
86,02-06-2020 13:54:38,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0278,19409,7513,668,,,,,250,,,,,True,Rabota na marki (kur'er)
