,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
61,04-08-2020 07:38:46,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2208,185397,69875,6119,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,04-08-2020 07:38:46,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.521,437536,164905,14440,5900,,,,,,,,,,,180 gr marihuana persoalno
63,04-08-2020 07:38:46,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0214,18000,8283,594,,,,,,,,True,,,,GABAGAMA 250 shtuk
64,04-08-2020 07:38:46,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0883,74159,27950,2448,1000,,,True,,True,,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
65,04-08-2020 07:38:46,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7506,630348,237575,20804,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,04-08-2020 07:38:46,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0161,14832,5590,490,200,,,,,,,,,,,KURYER..500RUB.+BONUS
67,04-08-2020 07:38:46,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0221,18540,6988,612,250,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
68,04-08-2020 07:38:46,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0221,18540,6988,612,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,04-08-2020 07:38:46,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0482,44495,16770,1469,600,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
70,04-08-2020 07:39:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0177,14832,5590,490,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
