,time_stamp,region,sell_code,sell_name,description,Saburtalo,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
71,03-06-2020 21:35:14,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,,нет,1,Батуми,5 гр,0.0232,15719,6187,552,230,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
72,03-06-2020 21:35:14,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,,нет,3,Батуми,10 гр,0.0423,28703,11298,1007,420,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
73,03-06-2020 21:35:14,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,,нет,2,Батуми,20 гр,0.5195,341707,134500,11991,5000,,,,,,,True,,METADON - 20 G.
74,03-06-2020 21:35:14,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1701,112990,51992,3931,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,03-06-2020 21:35:14,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2693,178900,82321,6225,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,03-06-2020 21:35:14,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0094,6834,2690,240,100,,,,,,,True,,kur'er v Batumi
77,03-06-2020 21:35:14,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0234,17085,6725,600,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
78,03-06-2020 21:35:14,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0234,17085,6725,600,250,,,,,,,True,,Ischu kur'era v Gruzii!
79,03-06-2020 21:35:14,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,3,Батуми,5 гр,0.0206,13668,5380,480,200,,,,,,,True,,Kur'er Batumi na marihuanu
80,03-06-2020 21:35:14,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,,нет,1,Батуми,25 гр,0.0288,19156,7538,668,,,250,,,,,True,,Rabota na marki (kur'er)
81,03-06-2020 21:35:14,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5569,1025120,403500,35972,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
82,03-06-2020 21:35:14,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0514,34171,13450,1199,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,03-06-2020 21:37:07,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,,1,нет,Кутаиси,2 гр,0.0293,19887,7828,698,291,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
84,03-06-2020 21:37:07,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,,2,нет,Кутаиси,3 гр,0.0182,12370,4869,434,181,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
85,03-06-2020 21:37:07,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,,нет,1,Кутаиси,25 гр,0.0288,19156,7538,668,,,250,,,,,,True,Rabota na marki (kur'er)
