,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
41,41,05-03-2020 03:53:57,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0363,21740,8205,734,329.0,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
42,42,05-03-2020 03:53:57,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0199,11894,4489,402,180.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,43,05-03-2020 03:53:57,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0983,59471,22446,2008,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,05-03-2020 03:53:57,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0765,46255,17458,1562,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,05-03-2020 03:53:57,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0436,26365,9951,890,399.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,05-03-2020 03:53:57,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0386,23127,8729,781,350.0,,,,,,,,10x Extasy Duracell 223mg MDMA.
47,47,05-03-2020 03:53:57,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0874,52863,19952,1785,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,48,05-03-2020 03:53:57,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2431,147024,55492,4964,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
49,49,05-03-2020 03:53:57,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1599,95748,36138,3233,1449.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,50,05-03-2020 03:53:57,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0407,24383,9203,823,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
