,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Old Tbilisi (Старый город),Varketili,Батуми,Центр,Кутаиси,desc_en
53,20-07-2020 03:33:02,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0382,28686,11060,960,,True,400,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
54,20-07-2020 03:33:02,Tbilisi,QVK5,Galiak,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0191,14343,5530,480,,True,200,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
55,20-07-2020 03:33:02,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14343,5530,480,,True,200,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,20-07-2020 03:33:02,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17928,6913,600,,True,250,,,,,,,Rabota na marki (kur'er)
57,20-07-2020 03:33:02,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0526,35857,13825,1200,,True,500,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
58,20-07-2020 03:33:02,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5913,1075709,414750,35991,,True,15000,,,,,,,Vakansija optovogo kur'era na mef
59,20-07-2020 03:33:02,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0526,35857,13825,1200,,,500,True,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
60,20-07-2020 03:35:06,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,2,5,Батуми,0.3 гр,0.0318,21514,8295,720,,,300,,,,True,,,METADON - 0.30 - SALE
61,20-07-2020 03:35:06,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0374,25321,9750,847,310,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
62,20-07-2020 03:35:06,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0334,25100,9678,840,,,350,,,,True,,,Mefedron 3g
