,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
64,64,15-05-2020 01:32:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1604,41937,3821,115257,,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,65,15-05-2020 01:32:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.038,9926,905,27280,,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,66,15-05-2020 01:32:35,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5144,134500,12256,369649,,5000.0,,,,,,,,,METADON - 20 G.
67,67,15-05-2020 01:32:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,16113,1468,44284,,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,68,15-05-2020 01:32:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.11199999999999999,29590,2696,81323,,1100.0,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
69,69,15-05-2020 01:33:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.245,64560,5883,177432,,2400.0,,,,,,,,,100 gr marijuana buds
70,70,15-05-2020 01:33:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2041,53800,4902,147860,,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,71,15-05-2020 01:33:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2552,67250,6128,184825,,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,72,15-05-2020 01:33:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6022,158710,14462,436186,,5900.0,,,,,,,,,180 gr marihuana persoalno
73,73,15-05-2020 01:33:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4695,123740,11276,340077,,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,74,15-05-2020 01:33:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7655,201750,18384,554474,,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,75,15-05-2020 01:33:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8675,228650,20835,628403,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,15-05-2020 01:33:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0186,5380,490,14786,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
77,77,15-05-2020 01:33:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0204,5380,490,14786,,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,15-05-2020 01:33:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,6725,613,18482,,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,79,15-05-2020 01:33:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5449,403500,36768,1108947,,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,15-05-2020 01:35:17,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2244,59180,5393,162646,,2200.0,,,,,,True,,,[100g] SPAIN HASH
81,81,15-05-2020 01:35:17,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1559,51992,3751,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,15-05-2020 01:35:17,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2468,82321,5939,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,15-05-2020 01:35:17,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,2690,245,7393,,100.0,,,,,,True,,,kur'er v Batumi
84,84,15-05-2020 01:35:17,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,6725,613,18482,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,85,15-05-2020 01:35:17,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,6725,613,18482,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
86,86,15-05-2020 01:35:17,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5438,403500,36768,1108947,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
87,87,15-05-2020 01:35:17,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.051,13450,1226,36965,,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,88,15-05-2020 01:37:16,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0173,4573,417,12568,,170.0,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,15-05-2020 01:37:16,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0487,13047,1189,35856,,485.0,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,15-05-2020 01:37:16,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0315,8339,760,22918,,310.0,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,15-05-2020 01:37:16,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,5380,490,14786,,200.0,,,,,,,,True,Rabota na marki (kur'er)
