,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Vake,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
73,14-03-2020 13:15:27,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2419,106050,38964,3391,1449,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,14-03-2020 13:15:27,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0616,27006,9922,864,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,14-03-2020 13:15:27,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0499,21883,8040,700,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,14-03-2020 13:15:27,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2811,124420,45713,3978,1700,,,,,,,,,,,,,MDMA 20 g
77,14-03-2020 13:15:27,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1,43840,16107,1402,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,14-03-2020 13:15:27,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1111,51232,18823,1638,700,,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
79,14-03-2020 13:15:27,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1804,87826,32268,2808,1200,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
80,14-03-2020 13:15:27,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1585,73115,26863,2338,999,,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
81,14-03-2020 13:15:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3306,146376,53780,4680,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,14-03-2020 13:15:27,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4133,182971,67225,5851,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
