,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
76,76,19-04-2020 09:14:56,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4241,232924,86310,7702,3150.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
77,77,19-04-2020 09:14:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6193,340143,126040,11247,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
78,78,19-04-2020 09:14:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0097,554581,205500,18338,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,79,19-04-2020 09:14:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1443,628525,232900,20783,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,80,19-04-2020 09:14:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0245,14789,5480,489,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
81,81,19-04-2020 09:14:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0269,14789,5480,489,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,19-04-2020 09:14:56,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0337,18486,6850,611,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,83,19-04-2020 09:14:56,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0269,14789,5480,489,200.0,,,,,,,,,,,Rabota na marki (kur'er)
84,84,19-04-2020 09:14:56,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0378,1109162,411000,36675,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,19-04-2020 09:16:31,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2965,162677,60280,5379,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
86,86,19-04-2020 09:16:31,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,2,Батуми,3 гр,0.0404,24402,9042,807,330.0,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
87,87,19-04-2020 09:16:31,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2723,147888,54800,4890,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
88,88,19-04-2020 09:16:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7394,2740,245,100.0,,,,,,,,True,,,kur'er v Batumi
89,89,19-04-2020 09:16:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0306,18486,6850,611,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,90,19-04-2020 09:16:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0306,18486,6850,611,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,91,19-04-2020 09:16:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0402,1109162,411000,36675,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,19-04-2020 09:16:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0674,36972,13700,1223,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,19-04-2020 09:17:49,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0212,11757,4357,389,159.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,94,19-04-2020 09:17:49,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0535,29356,10878,971,397.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,95,19-04-2020 09:17:49,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0388,21296,7891,704,288.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,19-04-2020 09:17:49,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.027000000000000003,14789,5480,489,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
