,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
89,89,06-02-2020 09:13:14,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2048,140000,64421,4784,,,,,,,,,,,reagent 25i nbome. 5gr
90,90,06-02-2020 09:13:14,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2773,189523,74700,6462,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
91,91,06-02-2020 09:13:14,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0194,11940,4706,407,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
92,92,06-02-2020 09:13:14,Tbilisi,dd631c4acf,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.019,11687,4607,398,185.0,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
93,93,06-02-2020 09:13:14,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0502,30892,12176,1053,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
94,94,06-02-2020 09:13:14,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0406,25207,9935,859,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
95,95,06-02-2020 09:13:14,Tbilisi,dd631c4acf,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.0411,25270,9960,862,400.0,,,,,,,,,,10 gram. Amfetamin SPEED
96,96,06-02-2020 09:13:14,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1848,126348,49800,4308,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
97,97,06-02-2020 09:13:14,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0813,50539,19920,1723,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
98,98,06-02-2020 09:13:14,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0369,25207,9935,859,399.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
99,99,06-02-2020 09:13:14,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2262,140563,55403,4793,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
100,100,06-02-2020 09:13:14,Tbilisi,dd631c4acf,️‍🌈10. LSD 200ug.🌈,True,нет,3,Тбилиси,10 гр,0.0328,20153,7943,687,319.0,,,,,,,,,,️‍🌈10. LSD 200ug.🌈
