,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
78,78,27-05-2020 00:19:01,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2767,178900,82321,5996,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,79,27-05-2020 00:19:01,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7114,2711,240,100.0,,,,,,,,,True,,,kur'er v Batumi
80,80,27-05-2020 00:19:01,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.025,17785,6778,600,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,27-05-2020 00:19:01,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.025,17785,6778,600,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,27-05-2020 00:19:01,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0301,19446,7400,653,,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
83,83,27-05-2020 00:19:01,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6656,1067112,406650,35993,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
84,84,27-05-2020 00:19:01,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.055,35570,13555,1200,500.0,,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,27-05-2020 00:20:47,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0528,34503,13148,1164,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,27-05-2020 00:20:47,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,5,нет,Кутаиси,3 гр,0.0356,23476,8946,792,330.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,27-05-2020 00:20:47,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,1,нет,Кутаиси,3.3 гр,0.0075,5336,2033,180,75.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
88,88,27-05-2020 00:20:47,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0301,19446,7400,653,,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
