,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
53,16-07-2020 15:23:39,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.0244,16246,6250,549,,,200,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
54,16-07-2020 15:23:39,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0954,64108,24705,2161,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,16-07-2020 15:23:39,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0583,39177,15098,1321,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,16-07-2020 15:23:39,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0742,49862,19215,1681,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,16-07-2020 15:23:39,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0445,29917,11529,1009,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,16-07-2020 15:23:39,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0848,56985,21960,1921,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,16-07-2020 15:23:39,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,True,нет,10,Тбилиси,10 гр,0.0366,27068,10431,913,380,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
60,16-07-2020 15:23:39,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2358,158489,61076,5344,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,16-07-2020 15:23:39,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0537,35742,13750,1208,,,440,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
62,16-07-2020 15:23:39,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0476,31680,12188,1070,,,390,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
