,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
72,72,09-03-2020 10:15:55,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1722,101276,37695,3359,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
73,73,09-03-2020 10:15:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5228,310581,115598,10302,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,74,09-03-2020 10:15:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8524,506381,188475,16797,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,75,09-03-2020 10:15:55,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.966,573899,213605,19037,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,09-03-2020 10:15:55,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0207,13504,5026,448,200.0,,,,,,,,,KURYER..500RUB.+BONUS
77,77,09-03-2020 10:15:55,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0155,10128,3770,336,150.0,,,,,,,,,Rabota na marki (kur'er)
78,78,09-03-2020 10:15:55,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0227,13504,5026,448,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,09-03-2020 10:15:55,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0284,16879,6283,560,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,80,09-03-2020 10:15:55,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7202,1012763,376950,33594,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
81,81,09-03-2020 10:17:18,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,22,нет,Батуми,1 гр,0.0207,13504,5026,448,200.0,,,,,,True,,,NZT-52 limited 1 g muka
82,82,09-03-2020 10:17:18,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0068,4051,1508,134,60.0,,,,,,True,,,ORANGE PUNCH [1g]
83,83,09-03-2020 10:17:18,Batumi,c72111ac1a,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0372,24306,9047,806,360.0,,,,,,True,,,NZT-52 limited 2g muka
84,84,09-03-2020 10:17:18,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,2,нет,Батуми,2 гр,0.0114,6752,2513,224,100.0,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
85,85,09-03-2020 10:17:18,Batumi,012f23b5ea,Power Africa 2.5 g,,2,нет,Батуми,2.5 гр,0.0108,7089,2639,235,105.0,,,,,,True,,,Power Africa 2.5 g
86,86,09-03-2020 10:17:18,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0284,16879,6283,560,250.0,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
87,87,09-03-2020 10:17:18,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1705,101276,37695,3359,1500.0,,,,,,True,,,Skunk! 50 gr.
88,88,09-03-2020 10:17:18,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.031,18230,6785,605,270.0,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
89,89,09-03-2020 10:17:18,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0207,13504,5026,448,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
90,90,09-03-2020 10:17:18,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2296,135035,50260,4479,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
91,91,09-03-2020 10:17:18,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1722,101276,37695,3359,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
92,92,09-03-2020 10:17:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0052,3376,1257,112,50.0,,,,,,True,,,kur'er v Batumi
93,93,09-03-2020 10:17:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0258,16879,6283,560,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
94,94,09-03-2020 10:17:18,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0155,10128,3770,336,150.0,,,,,,True,,,Rabota na marki (kur'er)
95,95,09-03-2020 10:17:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0258,16879,6283,560,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
96,96,09-03-2020 10:17:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7202,1012763,376950,33594,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
97,97,09-03-2020 10:17:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0568,33759,12565,1120,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,98,09-03-2020 10:18:54,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0155,10128,3770,336,150.0,,,,,,,,True,Rabota na marki (kur'er)
