,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
67,67,21-04-2020 12:17:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1647,634658,232475,20830,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,21-04-2020 12:17:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0249,14933,5470,490,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,21-04-2020 12:17:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0274,14933,5470,490,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,21-04-2020 12:17:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0343,18666,6838,613,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,21-04-2020 12:17:35,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0274,14933,5470,490,200.0,,,,,,,,,,Rabota na marki (kur'er)
72,72,21-04-2020 12:17:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.074,1119986,410250,36759,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,21-04-2020 12:19:23,Batumi,54915c4374,Батуми н-бооом 1 штука,,4,нет,Батуми,1 гр,0.0024,1460,535,48,,,,,,,True,True,18.0,,Batumi n-booom 1 shtuka
74,74,21-04-2020 12:19:23,Batumi,54915c4374,Батуми н-бооом 2 штуки,,10,нет,Батуми,2 гр,0.0047,2595,950,85,,,,,,,,True,32.0,,Batumi n-booom 2 shtuki
75,75,21-04-2020 12:19:23,Batumi,54915c4374,Батуми н-бооом 4 штуки,,5,нет,Батуми,4 гр,0.0074,4461,1634,146,,,,,,,True,True,55.0,,Batumi n-booom 4 shtuki
76,76,21-04-2020 12:19:23,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0081,4866,1782,160,,,,,,,,True,60.0,,Batumi n-booom 5 shtuk
77,77,21-04-2020 12:19:23,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3,164265,60170,5391,2200.0,,,,,,,True,,,[100g] SPAIN HASH
78,78,21-04-2020 12:19:23,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2755,149331,54700,4901,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
79,79,21-04-2020 12:19:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7467,2735,245,100.0,,,,,,,True,,,kur'er v Batumi
80,80,21-04-2020 12:19:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.031,18666,6838,613,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,21-04-2020 12:19:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.031,18666,6838,613,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,21-04-2020 12:19:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0641,1119986,410250,36759,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,21-04-2020 12:19:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0682,37333,13675,1225,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,21-04-2020 12:21:09,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0255,14112,5169,463,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,21-04-2020 12:21:09,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0606,33152,12143,1088,444.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,21-04-2020 12:21:09,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0423,23146,8479,760,310.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,21-04-2020 12:21:09,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0273,14933,5470,490,200.0,,,,,,,,,True,Rabota na marki (kur'er)
