,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
67,67,24-05-2020 22:54:31,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,17970,6763,600,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,24-05-2020 22:54:31,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6463,1078206,405750,35979,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,24-05-2020 22:55:54,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,0.5 гр,0.0065,4313,1623,144,60.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
70,70,24-05-2020 22:55:54,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0326,21564,8115,720,300.0,,,,,,,,,,True,,shishki marihuany 5G
71,71,24-05-2020 22:55:54,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0651,43128,16230,1439,600.0,,,,,,,,,,True,,Super Critical 10G
72,72,24-05-2020 22:55:54,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2387,158137,59510,5277,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
73,73,24-05-2020 22:55:54,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0092,6110,2299,204,85.0,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
74,74,24-05-2020 22:55:54,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0355,25886,9719,864,,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
75,75,24-05-2020 22:55:54,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0488,32346,12173,1079,450.0,,,,,,,,,True,,,MDMA !! 3 gramma
76,76,24-05-2020 22:55:54,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1706,112990,51992,3777,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
77,77,24-05-2020 22:55:54,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.27,178900,82321,5980,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
