,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
54,54,10-03-2020 20:25:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0222,12964,4651,423,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
55,55,10-03-2020 20:25:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1101,64819,23256,2117,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,10-03-2020 20:25:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0857,50415,18088,1646,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,10-03-2020 20:25:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0488,28736,10310,938,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,10-03-2020 20:25:42,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0433,25207,9044,823,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
59,59,10-03-2020 20:25:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0979,57617,20672,1881,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,10-03-2020 20:25:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2722,160246,57494,5233,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,10-03-2020 20:25:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1791,104358,37442,3408,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,10-03-2020 20:25:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0456,26576,9535,868,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,10-03-2020 20:25:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.037000000000000005,21534,7726,703,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,64,10-03-2020 20:25:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.07400000000000001,43140,15478,1409,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,10-03-2020 20:25:42,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0822,50415,18088,1646,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
66,66,10-03-2020 20:25:42,Tbilisi,be97026d1d,MDMA from Europe!!! 40g,True,нет,1,Тбилиси,40 гр,0.3915,230467,82688,7526,3200.0,,,,,,,,,MDMA from Europe!!! 40g
67,67,10-03-2020 20:25:42,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1335,86425,31008,2822,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
68,68,10-03-2020 20:25:42,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1173,71949,25814,2349,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
69,69,10-03-2020 20:25:42,Tbilisi,28bf667d16,Hashish Ice-o-lator 50g,True,нет,1,Тбилиси,50 гр,0.257,151244,54264,4939,2100.0,,,,,,,,,Hashish Ice-o-lator 50g
70,70,10-03-2020 20:26:27,Tbilisi,be97026d1d,MDMA from Europe!!! 50g,True,нет,1,Тбилиси,50 гр,0.4894,288083,103360,9407,4000.0,,,,,,,,,MDMA from Europe!!! 50g
71,71,10-03-2020 20:26:27,Tbilisi,be97026d1d,Columbia Cocaine VHQ 70g,True,нет,1,Тбилиси,70 гр,1.2848,756218,271320,24694,10500.0,,,,,,,,,Columbia Cocaine VHQ 70g
72,72,10-03-2020 20:26:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2447,144042,51680,4704,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,10-03-2020 20:26:27,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2472,144042,51680,4704,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,10-03-2020 20:26:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3059,180052,64600,5880,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,10-03-2020 20:26:27,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1854,108031,38760,3528,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,76,10-03-2020 20:26:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5629,331296,118864,10818,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,10-03-2020 20:26:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9177,540156,193800,17639,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,10-03-2020 20:26:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0401,612177,219640,19990,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,10-03-2020 20:26:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0222,14404,5168,470,200.0,,,,,,,,,KURYER..500RUB.+BONUS
80,80,10-03-2020 20:26:27,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0167,10803,3876,353,150.0,,,,,,,,,Rabota na marki (kur'er)
81,81,10-03-2020 20:26:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0245,14404,5168,470,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,10-03-2020 20:26:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0306,18005,6460,588,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,83,10-03-2020 20:26:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8521,1080312,387600,35277,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,10-03-2020 20:27:57,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,19,нет,Батуми,1 гр,0.0222,14404,5168,470,200.0,,,,,,True,,,NZT-52 limited 1 g muka
85,85,10-03-2020 20:27:57,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0073,4321,1550,141,60.0,,,,,,True,,,ORANGE PUNCH [1g]
86,86,10-03-2020 20:27:57,Batumi,012f23b5ea,Power Africa 1g,,1,нет,Батуми,1 гр,0.0055,3601,1292,118,50.0,,,,,,True,,,Power Africa 1g
87,87,10-03-2020 20:27:57,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0399,25927,9302,847,360.0,,,,,,True,,,NZT-52 limited 2g muka
88,88,10-03-2020 20:27:57,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0305,18005,6460,588,250.0,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
89,89,10-03-2020 20:27:57,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.183,108031,38760,3528,1500.0,,,,,,True,,,Skunk! 50 gr.
90,90,10-03-2020 20:27:57,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,4,4,Батуми,0.27 гр,0.0333,19446,6977,635,270.0,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
91,91,10-03-2020 20:27:57,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0222,14404,5168,470,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
92,92,10-03-2020 20:27:57,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2465,144042,51680,4704,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
93,93,10-03-2020 20:27:57,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1849,108031,38760,3528,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,94,10-03-2020 20:27:57,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0055,3601,1292,118,50.0,,,,,,True,,,kur'er v Batumi
95,95,10-03-2020 20:27:57,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0277,18005,6460,588,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
96,96,10-03-2020 20:27:57,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0166,10803,3876,353,150.0,,,,,,True,,,Rabota na marki (kur'er)
97,97,10-03-2020 20:27:57,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0277,18005,6460,588,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
98,98,10-03-2020 20:27:57,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.8468,1080312,387600,35277,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
99,99,10-03-2020 20:27:57,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.061,36010,12920,1176,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
100,100,10-03-2020 20:29:35,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0166,10803,3876,353,150.0,,,,,,,,True,Rabota na marki (kur'er)
