,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
67,30-03-2020 21:07:02,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2054,112634,41297,3732,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,30-03-2020 21:07:02,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0523,28683,10517,950,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
69,30-03-2020 21:07:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0424,23242,8522,770,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
70,30-03-2020 21:07:02,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0849,46562,17072,1543,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,30-03-2020 21:07:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1544,85506,31350,2833,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,30-03-2020 21:07:02,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3368,186558,68400,6181,2400,,,,,,,,,,,100 gr marijuana buds
73,30-03-2020 21:07:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2807,155465,57000,5151,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,30-03-2020 21:07:02,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2835,155465,57000,5151,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,30-03-2020 21:07:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3508,194331,71250,6439,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,30-03-2020 21:07:02,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2126,116599,42750,3863,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
77,30-03-2020 21:07:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6456,357570,131100,11847,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
