,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
79,09-02-2020 17:16:48,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0914,60298,23465,2067,950,,,,,,,,,,,Hybrid Skunk! 50 gr
80,09-02-2020 17:16:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1924,126944,49400,4352,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,09-02-2020 17:16:48,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1732,114250,44460,3917,1800,,,,,,,,,,,Hybrid Skunk! 100 gr
82,09-02-2020 17:16:48,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2405,158680,61750,5441,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
83,09-02-2020 17:16:48,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0376,27293,10621,936,430,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
84,09-02-2020 17:16:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4426,291971,113620,10011,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,09-02-2020 17:16:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7216,476040,185250,16322,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
86,09-02-2020 17:16:48,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8178,539512,209950,18498,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
87,09-02-2020 17:16:48,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0175,12694,4940,435,200,,,,,,,,,,,KURYER..500RUB.+BONUS
88,09-02-2020 17:16:48,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0175,12694,4940,435,200,,,,,,,,,,,Trebuetsja Kur'er
89,09-02-2020 17:16:48,Tbilisi,62YA,WhiteRebit,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0192,12694,4940,435,200,,,,,,,,,,,Trebuetsja sotrudnik
90,09-02-2020 17:16:48,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0192,12694,4940,435,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,09-02-2020 17:16:48,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0241,15868,6175,544,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
92,09-02-2020 17:16:48,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4563,952080,370500,32643,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
93,09-02-2020 17:18:22,Batumi,A08BZ,Subway,Метамфетамин рацемат 2г (MQ),,2,нет,Батуми,2 гр,0.0083,5395,2100,185,85,,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
