,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
61,04-03-2020 09:52:33,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2741,166109,62675,5586,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,04-03-2020 09:52:33,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1661,99666,37605,3351,1500,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
63,04-03-2020 09:52:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5043,305641,115322,10277,4600,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,04-03-2020 09:52:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8222,498328,188025,16757,7500,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,04-03-2020 09:52:33,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9319,564771,213095,18991,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
66,04-03-2020 09:52:33,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0199,13289,5014,447,200,,,,,,,,KURYER..500RUB.+BONUS
67,04-03-2020 09:52:33,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0199,13289,5014,447,200,,,,,,,,Trebuetsja Kur'er
68,04-03-2020 09:52:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,13289,5014,447,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,04-03-2020 09:53:31,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,16611,6268,559,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,04-03-2020 09:53:31,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6594,996656,376050,33513,15000,,,,,,,,Vakansija optovogo kur'era na mef
71,04-03-2020 09:54:57,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1644,99666,37605,3351,1500,,,,,,True,,Skunk! 50 gr.
72,04-03-2020 09:54:57,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0299,17940,6769,603,270,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
